Name,Category,MinLon,MinLat,MaxLon,MaxLat
world,World / Oceans,-180,-90,180,90
earth,World / Oceans,-180,-90,180,90
africa,Continents,-18,-35,52,38
europe,Continents,-25,34,45,72
asia,Continents,26,1,180,78
eurasia,Continents,-25,1,180,78
north america,Continents,-170,15,-50,73
south america,Continents,-82,-56,-34,15
americas,Continents,-170,-56,-34,73
australia,Continents,113,-44,154,-10
oceania,Continents,110,-50,180,25
antarctica,Continents,-180,-90,180,-60
mesopotamia,Ancient / Historical,38,29,50,38
fertile crescent,Ancient / Historical,35,29,50,38
sumer,Ancient / Historical,43,29,48,33
akkad,Ancient / Historical,42,32,47,36
babylonia,Ancient / Historical,42,30,48,35
babylon,Ancient / Historical,44,32,45,33
assyria,Ancient / Historical,40,34,46,38
nineveh,Ancient / Historical,43,36,44,37
ancient egypt,Ancient / Historical,25,22,37,32
nile valley,Ancient / Historical,29,12,36,32
nubia,Ancient / Historical,25,10,40,25
carthage,Ancient / Historical,9,36,11,37
north africa,Ancient / Historical,-18,15,37,38
levant,Ancient / Historical,34,29,37,36
canaan,Ancient / Historical,34,29,36,34
phoenicia,Ancient / Historical,34,33,37,36
judea,Ancient / Historical,34,31,36,33
israel (ancient),Ancient / Historical,34,29,36,34
persia (ancient),Ancient / Historical,44,25,65,40
achaemenid empire,Ancient / Historical,28,18,80,45
anatolia,Ancient / Historical,26,36,45,42
asia minor,Ancient / Historical,26,36,45,42
ancient greece,Ancient / Historical,20,35,28,42
ancient rome,Ancient / Historical,6,36,18,48
roman empire,Ancient / Historical,-10,28,45,56
gaul,Ancient / Historical,-5,42,10,52
britannia,Ancient / Historical,-8,49,3,62
iberia (ancient),Ancient / Historical,-10,35,5,45
germania,Ancient / Historical,6,47,24,58
scythia,Ancient / Historical,30,44,85,56
pontic steppe,Ancient / Historical,28,44,55,52
steppe,Ancient / Historical,30,45,120,58
indus valley,Ancient / Historical,66,23,78,35
ancient india,Ancient / Historical,60,8,90,38
maurya empire,Ancient / Historical,60,8,90,38
ancient china,Ancient / Historical,75,18,135,54
arabia (ancient),Ancient / Historical,32,12,60,30
