Name,MinLon,MinLat,MaxLon,MaxLat,EarliestDate,LatestDate
(Marhashi),45,25,60.0,35,2286 BCE,2005 BCE
Abhiras,70,25,75.0,30,610 BCE,317 BCE
Abilianikhi,42,40,48.0,45,880 BCE,591 BCE
Abisara,70,30,80.0,35,337 BCE,326 BCE
Aboriginal Peoples,95,-45,165.0,20,2400 BCE,1 BCE
Acarnania,20,35,25.0,40,695 BCE,1 BCE
Achaea,12,35,25.0,45,720 BCE,280 BCE
Achaean League,20,35,25.0,40,280 BCE,1 BCE
Achaeans,18,35,25.0,45,1100 BCE,492 BCE
Adena Culture,-90,35,-75.0,45,800 BCE,1 BCE
Aegina,20,35,25.0,40,520 BCE,1 BCE
Aeniania,20,35,25.0,40,695 BCE,1 BCE
Aeolian League,25,35,30.0,40,696 BCE,513 BCE
Aeolians,18,35,42.0,50,1223 BCE,480 BCE
Aequi,12,40,18.0,45,800 BCE,302 BCE
Aetolia,20,35,25.0,40,695 BCE,370 CE
Aetolian League,20,35,25.0,40,309 BCE,1 BCE
Afghanistan,60,25,75.0,40,1990 CE,present
Agathoclid Ally,10,35,20.0,45,308 BCE,289 BCE
Ahhiya,25,30,35.0,40,1429 BCE,1202 BCE
Ainu,136,40,160.0,55,2400 BCE,1 BCE
Aitna,10,35,20.0,40,466 BCE,461 BCE
Akkadian Empire,30,25,60.0,40,2311 BCE,2154 BCE
Akkadian Tributary,45,25,60.0,40,2297 BCE,2220 BCE
Akraephia,20,35,25.0,40,386 BCE,378 BCE
Akragas,10,35,20.0,40,500 BCE,1 BCE
Alasiya,30,30,35.0,40,1875 BCE,1200 BCE
Alavi,80,25,85.0,30,610 BCE,467 BCE
Albania,15,35,25.0,45,1990 CE,present
Albanians,42,35,54.0,45,612 BCE,1 BCE
Aleuts,-170,55,-150.0,65,2400 BCE,1 BCE
Alfaterni,12,40,18.0,45,438 BCE,1 BCE
Algeria,-10,15,15.0,40,1990 CE,present
Allabria,45,35,50.0,40,860 BCE,716 BCE
Allakappa,80,25,85.0,30,610 BCE,467 BCE
Allied armies of the Eastern Satraps,50,30,65.0,40,318 BCE,317 BCE
Alshe,40,35,45.0,40,1367 BCE,1240 BCE
Alzi,40,35,45.0,40,931 BCE,803 BCE
Amazonian Peoples,-80,-15,-40.0,10,2400 BCE,1 BCE
Ambashthas,70,30,75.0,35,610 BCE,400 BCE
Ambracia,20,35,25.0,40,365 BCE,294 BCE
