RefName,Lon,Lat,AliasName,FromYear,ToYear,IsRef
Caral,-77.52028,-10.89361,Caral,-2400,-1800,1
Madurai,78.122503,9.90839,Madurai,-350,,1
Muziris,76.213146,10.153976,Muchiri,-350,-250,0
Muziris,76.213146,10.153976,Muziris,-250,1341,1
Kaveripattanam,79.855,11.144,Kaveripattanam,-350,-300,1
Karur,78.079902,10.951893,Karuvur,-350,-250,0
Karur,78.079902,10.951893,Karur,-250,-9999,1
Anuradhapura,80.41276,8.32444,Anuradhapura,-437,,1
Kerma,30.4097,19.6008,Kerma,-2400,-1100,1
Karima,31.853738,18.565952,Napata,-1474,680,0
Karima,31.853738,18.565952,Karima,680,,1
Meroe,33.70098,16.911636,Meroe,-1800,400,1
Ma'rib,45.35,15.416667,Ma'rib,-1200,,1
Bodhan,77.9,18.67,Parudanyapura,-750,1196,0
Bodhan,77.9,18.67,Bodhan,1196,,1
Apollonopolis Magna,32.87333,24.97778,Djeba/Watjeset-hor,-2400,-332,0
Apollonopolis Magna,32.87333,24.97778,Apollonopolis Magna,-332,600,1
Ombos,32.96193,24.47345,Nubyt,-2400,-332,0
Ombos,32.96193,24.47345,Ombos,-332,550,1
Elephantine,32.88757,24.09412,Abu,-1800,-332,0
Elephantine,32.88757,24.09412,Elephantine,-332,560,1
Aswan,32.89744,24.08145,Swenet,-2400,-332,0
Aswan,32.89744,24.08145,Syrene,-332,641,0
Aswan,32.89744,24.08145,Aswan,641,,1
Buhen,31.2833,21.9167,Buhen,-1860,-1,1
al-Medina,39.611122,24.471153,Yatribu,-850,-537,0
al-Medina,39.611122,24.471153,Yathrib,-537,-30,0
al-Medina,39.611122,24.471153,Iathrippa,-30,630,0
al-Medina,39.611122,24.471153,al-Medina,630,,1
Thatta,68.065079,24.72237,Sarnee Nagar,-1000,-332,0
Thatta,68.065079,24.72237,Patala,-332,1526,0
Thatta,68.065079,24.72237,Nagar Tatta,1526,1750,0
Thatta,68.065079,24.72237,Thatta,1750,,1
Bharuch,72.993,21.712,Bharuch,-1100,,1
Tewar,79.8465,23.143,Tripuri,-825,1192,0
Tewar,79.8465,23.143,Tewar,1192,,1
Vidisha,77.82,23.53,Vidisha,-850,,1
Ujjayini,75.79,23.17,Ujjayini,-871,,1
Mahishmati,76.151056,22.245583,Mahishmati,-861,1300,1
Siwa,25.54353,29.205173,Ammon,-750,1150,0
Siwa,25.54353,29.205173,Siwa,1150,,1
Memphis,31.25974,29.8678,Ineb(ou)-Hedj(ou),-2400,-1550,0
Memphis,31.25974,29.8678,Men-nefer,-1550,-332,0
Memphis,31.25974,29.8678,Memphis,-332,1400,1
Atfih,31.25149,29.40565,Itj-Tawy/Tepihu,-2400,-332,0
Atfih,31.25149,29.40565,Aphroditopolis,-332,640,0
Atfih,31.25149,29.40565,Atfih,640,,1
Faiyum,30.84411,29.30837,Shedyet,-2400,-332,0
Faiyum,30.84411,29.30837,Ptolemais Euergetis,-332,-280,0
Faiyum,30.84411,29.30837,Arsinoe,-280,-20,0
Faiyum,30.84411,29.30837,Krokodilopolis,-20,642,0
Faiyum,30.84411,29.30837,Faiyum,642,,1
Narmouthis,30.65116,29.19119,Dja,-1830,-332,0
Narmouthis,30.65116,29.19119,Narmouthis,-332,1000,1
Senusrethotem,30.96667,29.23333,Senusrethotem,-1890,-1100,1
Herakleopolis (Magna),30.93444,29.08556,Henen-nesut,-2400,-332,0
Herakleopolis (Magna),30.93444,29.08556,Herakleopolis (Magna),-332,500,1
