RefName,Lon,Lat,FromYear,ToYear
Caral,-77.52028,-10.89361,-2400,-1800
Madurai,78.122503,9.90839,-350,
Muziris,76.213146,10.153976,-350,1341
Kaveripattanam,79.855,11.144,-350,-300
Karur,78.079902,10.951893,-350,-250
Anuradhapura,80.41276,8.32444,-437,
Kerma,30.4097,19.6008,-2400,-1100
Karima,31.853738,18.565952,-1474,
Meroe,33.70098,16.911636,-1800,400
Ma'rib,45.35,15.416667,-1200,
Bodhan,77.9,18.67,-750,
Apollonopolis Magna,32.87333,24.97778,-2400,600
Ombos,32.96193,24.47345,-2400,550
Elephantine,32.88757,24.09412,-1800,560
Aswan,32.89744,24.08145,-2400,
Buhen,31.2833,21.9167,-1860,-1
al-Medina,39.611122,24.471153,-850,
Thatta,68.065079,24.72237,-1000,
(Lothal),72.24944,22.52139,-2400,-1700
(Dholavira),70.213636,23.888606,-2400,-1750
Bharuch,72.993,21.712,-1100,
Tewar,79.8465,23.143,-825,
Vidisha,77.82,23.53,-850,
Ujjayini,75.79,23.17,-871,
Mahishmati,76.151056,22.245583,-861,1300
Siwa,25.54353,29.205173,-750,
Memphis,31.25974,29.8678,-2400,1400
Atfih,31.25149,29.40565,-2400,
Faiyum,30.84411,29.30837,-2400,
Narmouthis,30.65116,29.19119,-1830,1000
Senusrethotem,30.96667,29.23333,-1890,-1100
Herakleopolis (Magna),30.93444,29.08556,-2400,500
Theodosiopolis,30.76645,29.10734,-1800,550
Hwt-nsw/Hutnesut,30.84615,28.55367,-2400,1000
Pemje,30.65417,28.55028,-2400,641
Akoris (Tenis he kai Hakoreos),30.7759,28.18983,-2400,350
Alabastronopolis/Alabastrine,30.84143,28.04407,-2400,1000
el Ashmunein,30.80389,27.78139,-2400,
el-Qusiya,30.81982,27.43706,-2400,
Asyut,31.18078,27.18079,-2400,
al Atawla,31.21667,27.23333,-2400,
Abutig,31.32111,27.04294,-2400,
Qaw el-Kebir,31.5202,26.9096,-2400,
Akhmim,31.74307,26.55932,-2400,
Thinis/This,31.84422,26.34124,-2400,1000
El Araba el Madfuna,31.91888,26.18486,-2400,
Hiw,32.30326,26.00452,-2400,
Dandarah/Dendera,32.6495,26.16136,-2400,
Qift,32.81583,25.99556,-2400,
Naqada,32.71667,25.9,-2400,
Qus,32.74687,25.91299,-2400,
Luxor,32.61028,25.72056,-2400,
Armant,32.54625,25.62486,-2400,
El-Tod,32.545,25.59322,-2400,
Gebelein,32.50961,25.45424,-2400,
Eileithyiaspolis,32.79778,25.11889,-2400,380
Hierakonpolis,32.77944,25.09722,-2400,250
Mersa Gawasis,34.0364,26.5572,-1996,
Amarna,30.9056,27.6617,-1376,-1358
Aqaba,35.0056,29.5319,-2400,
Tayma,38.5439,27.6297,-1100,
al-'Ula,37.9228,26.6127,-1100,
Dumat al-Jandal,39.8822,29.8032,-950,
Test Battle,42.5,27.5,-2400,-2000
(Failaka),48.29016,29.4371,-2100,700
(Qal'at al-Bahrain),50.52056,26.23361,-2400,1550
Persepolis,52.889437,29.93534,-516,-100
Taoke,51.187805,29.275641,-450,500
(Tepe Yahya),56.8675,28.33083,-2400,300
(Konar Sandal),57.77842,28.44937,-2400,-2000
Jiroft,57.743416,28.665408,-2400,
Hormuz,56.22236,27.161555,-2400,1000
Poura,60.45583,27.19444,-2400,
(Mohenjo-daro),68.1389,27.32917,-2400,-1800
(Nausharo),67.588,29.365,-2400,-1900
(Kalibangan),74.13028,29.47417,-2400,-1900
(Rakhigarhi),76.11417,29.29306,-2400,-1800
Assandh,76.72,29.51,-1200,
Hastinapura,78.02,29.17,-900,
New Delhi,77.244167,28.609444,-950,
Ahichchhatra,79.136,28.371,-1050,1100
Kampil,79.28,27.62,-1025,
Mathura,77.673611,27.4925,-925,
Bairat,76.181591,27.433189,-950,
Shravasti,82.033944,27.517083,-975,650
Ayodhya,82.2,26.8,-750,
Kausambi,81.392899,25.338984,-900,600
Banares,83.012778,25.318889,-875,
Suktimati,80.333333,25.483333,-850,-200
Kusinagara,83.888,26.741,-775,
Vaishali,85.13,25.99,-775,300
Pataliputra,85.1283,25.6125,-490,800
Rajgir,85.42,25.03,-800,
Champapuri,86.9417,25.2374,-800,
Janakpur,85.925,26.7286,-900,
(Dayangzhou),115.456,27.91,-1250,-1000
(Wucheng),116.01,29.18,-1500,-1000
Lepcis Magna,14.291378,32.637957,-1110,950
Kinyps,14.44733,32.527937,-514,-512
Plateia,23.1305,32.3999,-640,-639
Aziris,22.880611,32.683784,-638,-633
Cyrene,21.856555,32.820349,-632,999
Tokara,20.567298,32.536399,-630,
Sozousa,21.95676,32.893176,-606,643
Marj,20.892778,32.498333,-552,
Benghazi,20.091198,32.109789,-526,
Mersa Matruh,27.236845,31.350136,-1300,
Alexandria,29.909773,31.201435,-332,
Kouvouklia,32.58356,34.70724,-2400,1000
(Pyrgos Mavroraki),33.18333,34.74278,-2350,-1850
(Kalavasos-Ayios Dhimitrios),33.30306,34.75056,-1800,-1200
(Maroni),33.35583,34.75583,-1650,-1200
(Hala Sultan Tekke),33.61001,34.88528,-1600,-250
Gath,34.84688,31.69979,-2400,-600
Beth Shemesh,34.98665,31.74569,-2100,-701
Akkaron,34.84992,31.77889,-2400,550
Asdud,34.65517,31.76384,-1800,2000
Gezer,34.919,31.859,-2000,250
Antipatris,34.93028,32.105,-2400,363
(Tell Ifshar/Tell Hefer),34.904,32.37175,-2150,580
(Tell Zeror),34.97137,32.42931,-2150,-1100
Dora,34.91639,32.6175,-1900,650
Gaza,34.41107,31.5087,-2400,
(Tell el-Hasi),34.73028,31.54778,-2400,-400
Lachish,34.849,31.565,-2400,-200
Ascalon,34.56667,31.66667,-2400,1270
Boukolonpolis,34.93833,32.68722,-1825,-100
(Tel Nami),34.92781,32.65966,-1775,-1250
(Tel Michal),34.79778,32.15917,-1675,1000
Gath-rimmon?,34.8075,32.09167,-2250,1300
Yafa,34.75099,32.04836,-1950,
St. Jorge de Lydde,34.889,31.9485,-2400,1250
(Tel Mor),34.66313,31.85085,-1600,500
Timna(t)h,34.9112,31.78502,-1700,-400
Yarmut,34.98801,31.72357,-2400,-600
Azeka(h),34.93567,31.70035,-1600,150
(Tel 'Erani),34.74097,31.64199,-2400,-586
Sharuhen?,34.4043,31.46767,-2100,-1410
Debir,34.99473,31.44746,-2400,-50
Gerar,34.60658,31.39186,-1900,300
Ziklag,34.68075,31.39057,-2200,-350
Arsa,34.44472,31.3875,-2000,-375
Thala,34.86447,31.38102,-2400,1000
(Tel 'Ira),34.97368,31.24859,-2400,1000
Aboukir,30.05112,31.30418,-2400,
Pi-Ramesses,31.82137,30.78742,-1783,-1000
Leontopolis,31.38794,30.76045,-1600,640
Ausim,31.13854,30.1435,-2400,
Heliopolis,31.28889,30.12953,-2400,1000
Terenuthis,30.83007,30.42938,-1850,640
Anthribis,31.17546,30.46328,-2400,640
Bubastis,31.51,30.57278,-2400,650
Gynaekopolis?/Momemphis,30.62123,30.79435,-2400,640
Sais,30.76833,30.96472,-2400,640
Busiris,31.24444,30.91111,-2400,640
Sebennytos,31.26003,30.98508,-2400,640
Mendes,31.51583,30.95833,-2400,
Sakha,30.95921,31.02599,-2400,
Buto,30.74472,31.19639,-2400,640
Tura,31.26042,30.00226,-2400,
Tanis,31.88,30.976944,-1150,550
Beersheba,34.799708,31.249772,-1175,
Citium,33.635714,34.932127,-1250,342
Yavne,34.738425,31.876462,-1000,
Iamneia Paralios,34.696549,31.929643,-1200,1150
