Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
1,Roman Republic,-509.4,-507.5,933.6,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((13.34022 41.29117, 13.31817 41.29325, 13.303…"
2,Roman Republic,-507.5,-504.5,778.0,POLITY,,,240,240,160,2026-08-16,Roman Republic,"POLYGON ((12.37033 41.68764, 12.3821 41.6962, 12.3934 41.707…"
3,Roman Republic,-504.5,-504.4,924.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"POLYGON ((12.22911 41.74614, 12.22028 41.746, 12.21695 41.74…"
4,Roman Republic,-504.4,-500.5,995.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"POLYGON ((12.22028 41.746, 12.21695 41.74811, 12.22381 41.75…"
5,Roman Republic,-500.5,-499.5,1046.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"POLYGON ((12.22028 41.746, 12.21695 41.74811, 12.22381 41.75…"
6,Roman Republic,-499.5,-494.5,1457.7,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.9225 41.9042, 12.93 41.9, 12.9408 41.8925…"
7,Roman Republic,-494.5,-492.5,1568.1,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7308 41.7058, 12.7283 41.7133, 12.7283 41…"
8,Roman Republic,-492.5,-482.5,1157.0,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
9,Roman Republic,-482.5,-477.5,1075.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
10,Roman Republic,-477.5,-476.5,984.6,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
11,Roman Republic,-476.5,-474.5,1075.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
12,Roman Republic,-474.5,-467.6,1106.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
13,Roman Republic,-467.6,-459.8,1219.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
14,Roman Republic,-459.8,-459.6,1106.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
15,Roman Republic,-459.6,-438.5,1219.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
16,Roman Republic,-438.5,-435.4,1188.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
17,Roman Republic,-435.4,-426.6,1219.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
18,Roman Republic,-426.6,-426.4,1188.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
19,Roman Republic,-426.4,-418.2,1219.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
20,Roman Republic,-418.2,-410.7,1266.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.68358 41.45567, 12.67208 41.45675, 12.667…"
21,Roman Republic,-410.7,-410.3,1155.6,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
22,Roman Republic,-410.3,-406.5,1266.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.68358 41.45567, 12.67208 41.45675, 12.667…"
23,Roman Republic,-406.5,-405.7,1421.7,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((13.30314 41.29631, 13.27828 41.29592, 13.270…"
24,Roman Republic,-405.7,-402.5,1472.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((13.30314 41.29631, 13.27828 41.29592, 13.270…"
25,Roman Republic,-402.5,-400.5,1316.7,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.68358 41.45567, 12.67208 41.45675, 12.667…"
26,Roman Republic,-400.5,-396.5,1472.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((13.30314 41.29631, 13.27828 41.29592, 13.270…"
27,Roman Republic,-396.5,-395.5,1853.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
28,Roman Republic,-395.5,-394.6,2028.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
29,Roman Republic,-394.6,-389.9,2189.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
30,Roman Republic,-389.9,-389.3,1965.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
31,Roman Republic,-389.3,-387.5,2068.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
32,Roman Republic,-387.5,-385.5,2289.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
