ID,Level1 Name,Level1 Area,Level2 Name,Level2 Area,Level3 Name,Level3 Area,Level4 Name,Level4 Area,Level5 Name,Level5 Area
1,Abhiras,12460.9,,,,,,,,
2,Aboriginal Peoples,8023798.6,,,,,,,,
3,Acarnania,2213.8,,,,,,,,
4,Achaea,4549.6,,,,,,,,
5,Achaea,4549.6,Caulonia,259.9,,,,,,
6,Achaea,4549.6,Croton,234.4,,,,,,
7,Achaea,4549.6,Croton,234.4,Temesa,234.4,,,,
8,Achaea,4549.6,Laus,196.6,,,,,,
9,Achaea,4549.6,Metapontum,191.1,,,,,,
10,Achaea,4549.6,Poseidonia,211.6,,,,,,
11,Achaea,4549.6,Pyxous,200.0,,,,,,
12,Achaea,4549.6,Sybaris,199.0,,,,,,
13,Adena Culture,115209.0,,,,,,,,
14,Aegina,83.6,,,,,,,,
15,Aeniania,459.5,,,,,,,,
16,Aeolians,151.9,,,,,,,,
17,Aeolians,151.9,Hermonassa,151.9,,,,,,
18,Aetolia,4686.1,,,,,,,,
19,Ainu,401471.3,,,,,,,,
20,Akragas,350.1,,,,,,,,
21,Akragas,350.1,Heraclea Minoa,136.6,,,,,,
22,Alavi,2144.5,,,,,,,,
23,Aleuts,229509.0,,,,,,,,
24,Allakappa,3144.3,,,,,,,,
25,Amazonian Peoples,7468500.8,,,,,,,,
26,Ambashthas,3534.9,,,,,,,,
27,Anarta,29563.3,,,,,,,,
28,Andean Peoples,1556672.0,,,,,,,,
29,Andhra,22581.1,,,,,,,,
30,Anupa,21221.7,,,,,,,,
31,Arabs,1723266.5,,,,,,,,
32,Arcadia,4318.4,,,,,,,,
33,Arctic Marine Mammal Hunters,5685162.3,,,,,,,,
34,Arctic Peoples,4412916.2,,,,,,,,
35,Assaka,57048.3,,,,,,,,
36,Athens,5380.1,,,,,,,,
37,Athens,5380.1,Chalcis,2379.5,,,,,,
38,Athens,5380.1,Naxos,430.6,,,,,,
39,Athens,5380.1,Salamis,98.0,,,,,,
40,Audumbaras,20063.9,,,,,,,,
41,Austro-Asiatic Peoples,2118935.6,,,,,,,,
42,Austronesians,8777680.4,,,,,,,,
43,Avanti,215653.2,,,,,,,,
44,Avanti,215653.2,Haihayas,44048.0,,,,,,
45,Avanti,215653.2,Kunti,8295.0,,,,,,
46,Ba,169055.6,,,,,,,,
47,Ba,169055.6,Cong,15423.0,,,,,,
48,Ba,169055.6,Dan,7869.2,,,,,,
49,Ba,169055.6,Feng,4206.5,,,,,,
50,Ba,169055.6,Gong(2),20516.9,,,,,,
51,Ba,169055.6,Nu,15662.5,,,,,,
52,Ba,169055.6,Rang,3976.7,,,,,,
53,Ba,169055.6,Yu(2),3514.3,,,,,,
54,Balts,428077.3,,,,,,,,
55,Bantu Peoples,3219352.1,,,,,,,,
56,Berbers,312124.1,,,,,,,,
57,Boeotia,2906.6,,,,,,,,
58,Brahmana,1412.1,,,,,,,,
59,Bruttii,15271.0,,,,,,,,
