Kingdom of Ur	OK	tiles=8; rows=160; 38 continuity gap(s)	2026-08-17T11:22:47
Kingdom of Larsa	OK	tiles=2; rows=57; 20 continuity gap(s)	2026-08-17T11:22:52
Kingdom of Uruk	OK	tiles=5; rows=37; 12 continuity gap(s)	2026-08-17T11:22:57
Lagash	OK	tiles=3; rows=7	2026-08-17T11:23:02
Umma	OK	tiles=4; rows=13; 6 continuity gap(s)	2026-08-17T11:23:07
Larak	OK	tiles=3; rows=3; 1 continuity gap(s)	2026-08-17T11:25:48
Kingdom of Akshak	OK	tiles=5; rows=11; 5 continuity gap(s)	2026-08-17T11:25:53
Kingdom of Kish	OK	tiles=5; rows=28; 8 continuity gap(s)	2026-08-17T11:25:57
Kingdom of Eshnunna	OK	tiles=4; rows=48; 11 continuity gap(s)	2026-08-17T11:26:02
Dilmun	OK	tiles=4; rows=1	2026-08-17T11:26:07
Pashime	OK	tiles=3; rows=7; 6 continuity gap(s)	2026-08-17T11:26:12
Magan	OK	tiles=4; rows=1	2026-08-17T11:26:17
(Marhashi)	OK	tiles=5; rows=31; 7 continuity gap(s)	2026-08-17T11:26:23
Anshan	OK	tiles=3; rows=11; 9 continuity gap(s)	2026-08-17T11:26:27
Zahara	OK	tiles=5; rows=6	2026-08-17T11:26:32
Elam	OK	tiles=9; rows=163; 1 warning(s): WARNING: Allied army row -691.6..-691.4 has conflicting colorIndex among contributing entries; 59 continuity gap(s)	2026-08-17T11:26:38
Kingdom of Irqata	OK	tiles=2; rows=2; 1 continuity gap(s)	2026-08-17T11:26:43
Kingdom of Awan	OK	tiles=3; rows=33; 9 continuity gap(s)	2026-08-17T11:26:47
Kingdom of Mari	OK	tiles=5; rows=21; 4 continuity gap(s)	2026-08-17T11:26:52
Guti	OK	tiles=6; rows=55; 26 continuity gap(s)	2026-08-17T11:26:57
Assyrian Kingdoms	OK	tiles=4; rows=15; 8 continuity gap(s)	2026-08-17T11:27:02
Hurrian Kingdoms	OK	tiles=3; rows=4	2026-08-17T11:27:08
Kingdom of Tuttul	OK	tiles=2; rows=5; 4 continuity gap(s)	2026-08-17T11:27:13
Kingdom of Ebla	OK	tiles=4; rows=17; 4 continuity gap(s)	2026-08-17T11:27:18
Kingdom of Ugarit	OK	tiles=1; rows=4; 3 continuity gap(s)	2026-08-17T11:27:23
Amorites	OK	tiles=5; rows=4	2026-08-17T11:27:28
Hurrians	OK	tiles=5; rows=12; 4 continuity gap(s)	2026-08-17T11:27:33
Shimashki	OK	tiles=6; rows=44; 10 continuity gap(s)	2026-08-17T11:27:38
Semitic Nomads	OK	tiles=17; rows=2	2026-08-17T11:27:44
Kassites	OK	tiles=8; rows=75; 14 continuity gap(s)	2026-08-17T11:27:49
Kingdom of Adab	OK	tiles=8; rows=30; 2 continuity gap(s)	2026-08-17T11:27:55
Kingdom of Lagash	OK	tiles=2; rows=18; 7 continuity gap(s)	2026-08-17T11:28:00
Akkadian Empire	OK	tiles=10; rows=216; 71 continuity gap(s)	2026-08-17T11:28:06
Akkadian Tributary	OK	tiles=5; rows=47; 20 continuity gap(s)	2026-08-17T11:28:11
Egypt: Old Kdm	OK	tiles=5; rows=83; 9 continuity gap(s)	2026-08-17T11:28:17
Berbers	OK	tiles=12; rows=5	2026-08-17T11:28:22
Nubians	OK	tiles=7; rows=16; 6 continuity gap(s)	2026-08-17T11:28:27
Bedouins	OK	tiles=4; rows=3	2026-08-17T11:28:32
Proto-Canaanites	SKIP_NO_FEATURES	tiles=2	2026-08-17T11:28:32
Lullubi	SKIP_NO_FEATURES	tiles=2	2026-08-17T11:28:33
Hattians	SKIP_NO_FEATURES	tiles=3	2026-08-17T11:28:33
Hittites	OK	tiles=6; rows=5; 2 continuity gap(s)	2026-08-17T11:28:39
Caucasians	SKIP_NO_FEATURES	tiles=6	2026-08-17T11:28:39
Kingdom of Alakhtum	OK	tiles=1; rows=1	2026-08-17T11:28:45
Guti Tributary	OK	tiles=3; rows=29	2026-08-17T11:28:50
Egypt: Heracleopolitans	OK	tiles=4; rows=71; 3 continuity gap(s)	2026-08-17T11:28:56
Egypt: Thebans	OK	tiles=5; rows=160; 65 continuity gap(s)	2026-08-17T11:29:03
Kingdom of Kisurra	OK	tiles=1; rows=1	2026-08-17T11:29:08
Ur III Tributary	OK	tiles=6; rows=62; 1 warning(s): WARNING: Harshi row -2068.4..-2048.6 has conflicting colorIndex among contributing entries; 15 continuity gap(s)	2026-08-17T11:29:14
Amorite Mari	OK	tiles=4; rows=20; 2 continuity gap(s)	2026-08-17T11:29:19
Kingdom of Der	OK	tiles=2; rows=14; 4 continuity gap(s)	2026-08-17T11:29:24
Karakhar	OK	tiles=1; rows=6; 5 continuity gap(s)	2026-08-17T11:29:29
Simurrum	OK	tiles=2; rows=4; 3 continuity gap(s)	2026-08-17T11:29:34
Lullubum	OK	tiles=2; rows=2; 1 continuity gap(s)	2026-08-17T11:29:39
Egypt: Middle Kingdom	OK	tiles=6; rows=247; 88 continuity gap(s)	2026-08-17T11:29:45
Finns	OK	tiles=24; rows=4	2026-08-17T11:29:50
Luwians	SKIP_NO_FEATURES	tiles=5	2026-08-17T11:29:51
Kingdom of Kazallu	OK	tiles=2; rows=15; 1 continuity gap(s)	2026-08-17T11:29:56
Kingdom of Isin	OK	tiles=6; rows=58; 11 continuity gap(s)	2026-08-17T11:30:02
Yamkhad	OK	tiles=4; rows=19; 4 continuity gap(s)	2026-08-17T11:30:07
Egypt: Areas of Unrest	OK	tiles=4; rows=103; 46 continuity gap(s)	2026-08-17T11:30:13
Harshi	OK	tiles=4; rows=2; 1 continuity gap(s)	2026-08-17T11:30:18
Iranians	OK	tiles=33; rows=47	2026-08-17T11:30:23
Thraco Cimmerians	SKIP_NO_FEATURES	tiles=11	2026-08-17T11:30:24
Proto-Greeks	SKIP_NO_FEATURES	tiles=2	2026-08-17T11:30:25
Pelasgians	SKIP_NO_FEATURES	tiles=2	2026-08-17T11:30:25
Illyrians	OK	tiles=3; rows=5	2026-08-17T11:30:31
Kingdom of Qatna	OK	tiles=2; rows=3; 1 continuity gap(s)	2026-08-17T11:30:36
Kingdom of Assyria	OK	tiles=7; rows=90; 35 continuity gap(s)	2026-08-17T11:30:41
Kingdom of Malgium	OK	tiles=2; rows=1	2026-08-17T11:30:46
Amorite Ebla	OK	tiles=2; rows=1	2026-08-17T11:30:51
Amorite Tuttul	OK	tiles=2; rows=1	2026-08-17T11:30:56
Kingdom of Babylon	OK	tiles=6; rows=120; 45 continuity gap(s)	2026-08-17T11:31:01
Minoans	OK	tiles=4; rows=20	2026-08-17T11:31:07
Canaanites	OK	tiles=2; rows=10; 6 continuity gap(s)	2026-08-17T11:31:11
Kingdom of Andarig	OK	tiles=1; rows=3; 2 continuity gap(s)	2026-08-17T11:31:16
Itabalhum	OK	tiles=2; rows=3; 2 continuity gap(s)	2026-08-17T11:31:21
Zalmaqum	OK	tiles=2; rows=1	2026-08-17T11:31:26
Kingdom of Kush	OK	tiles=10; rows=84; 4 continuity gap(s)	2026-08-17T11:31:32
Kingdom of Adanaya	OK	tiles=2; rows=3; 2 continuity gap(s)	2026-08-17T11:31:37
Kingdom of Kussara	OK	tiles=3; rows=5	2026-08-17T11:31:42
Arzawa	OK	tiles=6; rows=89; 33 continuity gap(s)	2026-08-17T11:31:48
Yaminites	SKIP_NO_FEATURES	tiles=1	2026-08-17T11:31:49
Elamite Tributary	OK	tiles=4; rows=34; 4 continuity gap(s)	2026-08-17T11:31:54
Babylonian Tributary	OK	tiles=7; rows=24; 4 continuity gap(s)	2026-08-17T11:31:59
Old Hittite Kingdom	OK	tiles=7; rows=127; 41 continuity gap(s)	2026-08-17T11:32:06
Idamaraz	OK	tiles=2; rows=6	2026-08-17T11:32:11
Subartum	OK	tiles=1; rows=1	2026-08-17T11:32:16
Kimash	OK	tiles=1; rows=1	2026-08-17T11:32:21
Sealand	OK	tiles=2; rows=7; 1 continuity gap(s)	2026-08-17T11:32:26
Amurru	OK	tiles=3; rows=19; 7 continuity gap(s)	2026-08-17T11:32:31
Kingdom of Arrapha	OK	tiles=2; rows=3; 2 continuity gap(s)	2026-08-17T11:32:36
Kingdom of Terqa	OK	tiles=4; rows=2; 1 continuity gap(s)	2026-08-17T11:32:41
Egypt: Hyksos	OK	tiles=6; rows=88	2026-08-17T11:32:49
Rebel Irridu	OK	tiles=2; rows=1	2026-08-17T11:32:54
Rebel Aranzik	OK	tiles=1; rows=1	2026-08-17T11:32:59
Kingdom of Kanesh	OK	tiles=3; rows=9; 3 continuity gap(s)	2026-08-17T11:33:05
