Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Sumerian City-States,-3400,-3201,22012.292763497044,POLITY,History of Sumer,Q2345840,,,,45.9804,31.4067
Sumerian City-States,-3200,-3001,35614.59527198169,POLITY,History of Sumer,Q2345840,,,,45.7435,31.8038
Elam,-3200,-2701,4927.847813,POLITY,Elam,Q128904,,,,48.4269,32.1718
Sumerian City-States,-3000,-2701,45289.54883803891,POLITY,History of Sumer,Q2345840,,,,45.8112,31.9941
Early Dynastic Period of Egypt,-3000,-2701,93286.06292,POLITY,Early Dynastic Period (Egypt),Q187979,eg_dynasty_1,,,31.3685,29.2027
Indus Valley Civilization,-3000,-2701,4997.632390870805,POLITY,Indus Valley Civilisation,Q42534,pk_kachi_pre_urban,,,68.4185,26.9
Indus Valley Civilization,-2700,-2501,14900.505341821243,POLITY,Indus Valley Civilisation,Q42534,pk_kachi_pre_urban,,,72.7896,28.4275
Early Dynastic Period of Egypt,-2700,-2501,93286.06292,POLITY,Early Dynastic Period (Egypt),Q187979,eg_dynasty_2,,,31.3685,29.2027
Sumerian City-States,-2700,-2501,80617.54918929553,POLITY,History of Sumer,Q2345840,,,,46.6092,31.8705
Old Kingdom of Egypt,-2500,-2301,93286.06292,POLITY,Old Kingdom of Egypt,Q177819,eg_old_k_1,,,31.3685,29.2027
Sumerian City-States,-2500,-2301,106576.07060876074,POLITY,History of Sumer,Q2345840,,,,45.6454,32.4099
Indus Valley Civilization,-2500,-2301,40148.65017281176,POLITY,Indus Valley Civilisation,Q42534,pk_kachi_pre_urban,,,70.8555,27.4242
Old Kingdom of Egypt,-2300,-2251,93286.06292,POLITY,Old Kingdom of Egypt,Q177819,eg_old_k_2,,,31.3685,29.2027
Sumerian City-States,-2300,-2251,8294.096180585033,POLITY,History of Sumer,Q2345840,,,,46.6671,30.775
Akkadian Empire,-2300,-2251,390386.8412,POLITY,Akkadian Empire,Q4461035,,,,42.1481,34.6285
Indus Valley Civilization,-2300,-2001,755121.2924974479,POLITY,Indus Valley Civilisation,Q42534,pk_kachi_urban_1,,,70.7527,28.2989
Old Kingdom of Egypt,-2250,-2201,93286.06292,POLITY,Old Kingdom of Egypt,Q177819,eg_old_k_2,,,31.3685,29.2027
Akkadian Empire,-2250,-2201,526585.1114920083,POLITY,Akkadian Empire,Q4461035,iq_akkad_emp,,,43.3555,33.9184
Lower Egypt,-2200,-2101,74524.33486391467,POLITY,Old Kingdom of Egypt,Q463871,eg_old_k_2,,,31.1304,30.0594
Upper Egypt,-2200,-2101,19656.39645648067,POLITY,Old Kingdom of Egypt,Q203751,eg_old_k_2,,,32.2886,25.81
Elam,-2200,-2101,89634.28893415602,POLITY,Elam,Q128904,,,,49.7644,31.0066
Akkadian Empire,-2200,-2101,296575.8485807046,POLITY,Akkadian Empire,Q4461035,iq_akkad_emp,,,43.5603,34.1987
Gutian Dynasty,-2100,-2001,131488.49053817926,POLITY,Gutian rule in Mesopotamia,Q1064034,,,,47.7151,31.9209
Elam,-2100,-2001,25323.695121879795,POLITY,Elam,Q128904,,,,51.2111,29.5535
Upper Egypt,-2100,-2001,19656.39645648067,POLITY,First Intermediate Period of Egypt,Q203751,eg_regions,,,32.2886,25.81
Sumerian City-States,-2100,-2001,12567.99722392463,POLITY,History of Sumer,Q2345840,,,,46.6374,30.8015
Lower Egypt,-2100,-2001,74134.07087712489,POLITY,First Intermediate Period of Egypt,Q463871,eg_regions,,,31.1262,30.063
Indus Valley Civilization,-2000,-1801,755121.2924974479,POLITY,Indus Valley Civilisation,Q42534,pk_kachi_urban_2,,,70.7527,28.2989
Sumerian City-States,-2000,-1801,53983.44046533461,POLITY,History of Sumer,Q2345840,,,,45.9722,31.8193
Elam,-2000,-1801,111341.68821524376,POLITY,Elam,Q128904,ir_elam_2,,,47.5463,32.5015
Middle Kingdom of Egypt,-2000,-1801,93286.06292,POLITY,Middle Kingdom of Egypt,Q191324,eg_middle_k,,,31.3685,29.2027
Middle Kingdom of Egypt,-1800,-1701,433182.3059937801,POLITY,Middle Kingdom of Egypt,Q191324,eg_middle_k,,,31.2611,27.0753
Assyria,-1800,-1761,77170.61591512688,POLITY,Assyria,Q41137,,,,42.805,35.9435
Hyksos,-1800,-1701,57073.52750507146,POLITY,Hyksos,Q192319,,,,34.7934,31.8525
Babylonia,-1800,-1761,7832.842399271224,POLITY,Babylonia,Q47690,iq_babylonia_1,,,44.58,32.5344
Indus Valley Civilization,-1800,-1761,252962.83920120983,POLITY,Indus Valley Civilisation,Q42534,pk_kachi_urban_2,,,69.5578,27.132
Elam,-1800,-1761,145480.0113290921,POLITY,Elam,Q128904,ir_elam_3,,,48.3637,31.8922
Sumerian City-States,-1800,-1761,48484.003876687755,POLITY,History of Sumer,Q2345840,,,,46.1275,31.7258
Elam,-1760,-1601,79387.24858399261,POLITY,Elam,Q128904,ir_elam_3,,,49.9695,30.957
Babylonia,-1760,-1751,97099.23030608514,POLITY,Babylonia,Q47690,iq_babylonia_1,,,46.4804,32.0594
Indus Valley Civilization,-1760,-1751,222948.35611590662,POLITY,Indus Valley Civilisation,Q42534,,,,69.5866,27.5516
Assyria,-1760,-1701,25617.153844053166,POLITY,Assyria,Q41137,,,,43.9689,35.5912
Indus Valley Civilization,-1750,-1701,222948.35611590662,POLITY,Indus Valley Civilisation,Q42534,,,,69.5866,27.5516
Babylonia,-1750,-1701,220074.81674962363,POLITY,Babylonia,Q47690,iq_babylonia_1,,,45.0803,33.2658
Babylonia,-1700,-1601,126725.11742038671,POLITY,Babylonia,Q47690,iq_babylonia_1,,,46.083,32.2405
Assyria,-1700,-1501,63721.64145582211,POLITY,Assyria,Q41137,,,,44.0728,34.9646
Middle Kingdom of Egypt,-1700,-1601,433182.3059937801,POLITY,Middle Kingdom of Egypt,Q191324,eg_middle_k,,,31.2611,27.0753
Hyksos,-1700,-1601,87491.47579664075,POLITY,Hyksos,Q192319,,,,35.2503,32.0096
First Sealand Dynasty,-1700,-1601,8320.359199691247,POLITY,First Sealand dynasty,Q7440601,,,,47.1511,30.3011
Fifteenth Dynasty of Egypt,-1600,-1501,34444.34083250757,POLITY,Fifteenth Dynasty of Egypt,Q728479,eg_thebes_hyksos,,,30.498,29.9421
Seventeenth Dynasty of Egypt,-1600,-1501,34736.888615572316,POLITY,Seventeenth Dynasty of Egypt,Q642301,eg_thebes_hyksos,,,32.4534,26.1077
Babylonia,-1600,-1501,126674.71669401185,POLITY,Babylonia,Q47690,iq_babylonia_1,,,46.0841,32.2412
Sixteenth Dynasty of Egypt,-1600,-1501,24578.44282569545,POLITY,Sixteenth Dynasty of Egypt,Q737695,eg_thebes_hyksos,,,31.7924,30.3426
Minoan civilization,-1600,-1501,5498.973154,POLITY,Minoan civilization,Q134178,gr_crete_new_palace,,,24.8412,35.2341
Elam,-1600,-1401,79387.24858399261,POLITY,Elam,Q128904,ir_elam_4,,,49.9695,30.957
Hittites,-1600,-1501,58875.389019388276,POLITY,Hittites,Q5406,tr_hatti_old_k,,,36.1095,38.6157
