Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Sumerian City-States,-3400,-3201,22012.292763497033,POLITY,History of Sumer,,,,,45.9804,31.4067
Sumerian City-States,-3200,-3001,35614.595271981685,POLITY,History of Sumer,,,,,45.7435,31.8038
Elam,-3200,-2701,4927.8478131011,POLITY,Elam,,,,,48.4269,32.1718
Sumerian City-States,-3000,-2701,45289.548838038914,POLITY,History of Sumer,,,,,45.8112,31.9941
Early Dynastic Period of Egypt,-3000,-2701,94283.81419564209,POLITY,Early Dynastic Period (Egypt),,eg_dynasty_1,,,31.3705,29.1578
Indus Valley Civilization,-3000,-2701,4997.632390870818,POLITY,Indus Valley Civilisation,,pk_kachi_pre_urban,,,68.4185,26.9
Indus Valley Civilization,-2700,-2501,14900.505341821296,POLITY,Indus Valley Civilisation,,pk_kachi_pre_urban,,,72.7896,28.4275
Early Dynastic Period of Egypt,-2700,-2501,94283.81419564209,POLITY,Early Dynastic Period (Egypt),,eg_dynasty_2,,,31.3705,29.1578
Sumerian City-States,-2700,-2501,80617.5491892955,POLITY,History of Sumer,,,,,46.6092,31.8705
Old Kingdom of Egypt,-2500,-2301,94283.81419564209,POLITY,Old Kingdom of Egypt,,eg_old_k_1,,,31.3705,29.1578
Sumerian City-States,-2500,-2301,106576.07060876074,POLITY,History of Sumer,,,,,45.6454,32.4099
Indus Valley Civilization,-2500,-2301,40148.650172811875,POLITY,Indus Valley Civilisation,,pk_kachi_pre_urban,,,70.8555,27.4242
Old Kingdom of Egypt,-2300,-2251,94283.81419564209,POLITY,Old Kingdom of Egypt,,eg_old_k_2,,,31.3705,29.1578
Sumerian City-States,-2300,-2251,8294.096180585033,POLITY,History of Sumer,,,,,46.6671,30.775
Akkadian Empire,-2300,-2251,390336.12352557684,POLITY,Akkadian Empire,,,,,42.149,34.6285
Indus Valley Civilization,-2300,-2001,755121.2924974479,POLITY,Indus Valley Civilisation,,pk_kachi_urban_1,,,70.7527,28.2989
Old Kingdom of Egypt,-2250,-2201,94283.81419564209,POLITY,Old Kingdom of Egypt,,eg_old_k_2,,,31.3705,29.1578
Akkadian Empire,-2250,-2201,526534.3938636638,POLITY,Akkadian Empire,,iq_akkad_emp,,,43.3562,33.9184
Lower Egypt,-2200,-2101,73865.85583451271,POLITY,Lower Egypt,,,,,31.1237,30.0494
Upper Egypt,-2200,-2101,20418.376819313504,POLITY,Upper Egypt,,eg_old_k_2,,,32.2981,25.8056
Elam,-2200,-2101,89634.288934156,POLITY,Elam,,,,,49.7644,31.0066
