Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
1,(Marhashi),-2400.0,-2293.5,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
2,(Marhashi),-2286.5,-2280.2,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
3,(Marhashi),-2279.3,-2276.3,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
4,(Marhashi),-2270.4,-2268.4,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
5,(Marhashi),-2242.6,-2240.3,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
6,(Marhashi),-2230.5,-2206.5,96959.8,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
7,(Marhashi),-2206.5,-2205.4,126918.6,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((53.90047 26.53317, 53.89958 26.53428, 53.892…"
8,(Marhashi),-2205.4,-2204.4,245821.3,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((51.46317 27.8652, 51.46756 27.85747, 51.4666…"
9,(Marhashi),-2204.4,-2203.6,289048.0,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((50.88739 28.98995, 50.88445 28.98772, 50.865…"
10,(Marhashi),-2203.6,-2202.5,341300.3,POLITY,,,(Marhashi),Southwest Asia,Iran,240,192,0,2026-08-22,(Marhashi),,"MULTIPOLYGON (((50.88739 28.98995, 50.88445 28.98772, 50.865…"
