Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
1,Finns,-9998,-2400.1,16483.7,TRIBAL_AREA,delete,,Finns,Europe,Northern Europe,16,240,240,8/22/2026,Finns,,"MULTIPOLYGON (((17.2083 60.3565, 17.1983 60.3406, 17.1862 60…"
2,Thraco Cimmerians,-9998,-2400.1,93557.6,TRIBAL_AREA,delete,,Thraco Cimmerians,Central and Northern Eurasia,Pontic-Caspian,80,208,160,9/6/2026,Thraco Cimmerians,,"MULTIPOLYGON (((23.6886 40.3348, 23.6749 40.3219, 23.6597 40…"
3,Caucasians,-9998,-2400.1,12381.5,TRIBAL_AREA,delete,,Caucasians,Southwest Asia,Anatolia-Caucasus,240,224,0,9/13/2026,Caucasians,,"MULTIPOLYGON (((36.7429 40.2471, 36.7348 40.23, 36.7248 40.2…"
4,Iranians,-9998,-2400.1,50393.1,TRIBAL_AREA,delete,,Iranians,Central and Northern Eurasia,Turkestan,0,240,16,9/13/2026,Iranians,,"MULTIPOLYGON (((60.5042 42.0252, 60.4921 42.0107, 60.4784 41…"
5,Egypt: Old Kdm,-2400.3,-2400.2,32111.2,POLITY,delete,,Egypt: Old Kdm,Africa,Northeast Africa,96,240,240,9/9/2026,Egypt: Old Kdm,,"POLYGON ((31.4131 29.7279, 31.4172 29.7087, 31.4338 29.6808,…"
6,Egypt: Heracleopolitans,-2400.2,-2400.1,32111.2,POLITY,delete,,Egypt: Heracleopolitans,Africa,Northeast Africa,48,240,160,9/9/2026,Egypt: Heracleopolitans,,"POLYGON ((31.4131 29.7279, 31.4172 29.7087, 31.4338 29.6808,…"
7,Aboriginal Peoples,-2400.1,-2350.1,18325360.2,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,8/22/2026,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
8,Ainu,-2400.1,-1,401471.3,TRIBAL_AREA,,,Ainu,Central and Northern Eurasia,Siberia,64,160,64,8/22/2026,Ainu,,"MULTIPOINT ((140.48 40.71), (140.035 42.46), (141.25 42.96),…"
9,Aleuts,-2400.1,-1,229509,TRIBAL_AREA,,,Aleuts,North America,East Coast,112,160,48,8/22/2026,Aleuts,,"MULTIPOINT ((-161.25 55.77), (-160.82 59.13), (-157.7 57.3),…"
10,Amazonian Peoples,-2400.1,-1,7468500.8,TRIBAL_AREA,,,Amazonian Peoples,South America and Caribbean,Amazonia,64,48,208,8/22/2026,Amazonian Peoples,,"MULTIPOINT ((-72.7 -13.2), (-70.7 -13.2), (-73.7 -11.7), (-7…"
11,Andean Peoples,-2400.1,-2300.1,1763775.8,TRIBAL_AREA,,,Andean Peoples,South America and Caribbean,Andes,192,176,64,8/22/2026,Andean Peoples,,"MULTIPOINT ((-71.7 -38.7), (-72.7 -37.2), (-71.7 -35.7), (-7…"
12,Arctic Marine Mammal Hunters,-2400.1,-1,5685162.3,TRIBAL_AREA,,,Arctic Marine Mammal Hunters,Central and Northern Eurasia,Siberia,128,224,240,8/22/2026,Arctic Marine Mammal Hunters,,"MULTIPOINT ((170.3 61.3), (171.3 62.8), (173.3 62.8), (175.3…"
13,Arctic Peoples,-2400.1,-1,4412916.2,TRIBAL_AREA,,,Arctic Peoples,North America,Arctic America,128,240,176,8/22/2026,Arctic Peoples,,"MULTIPOINT ((-75.7 57.3), (-73.7 57.3), (-76.7 58.8), (-74.7…"
14,Austro-Asiatic Peoples,-2400.1,-1200.1,2238125.5,TRIBAL_AREA,,,Austro-Asiatic Peoples,Southeast Asia,Mainland Southeast Asia,32,128,16,8/22/2026,Austro-Asiatic Peoples,,"MULTIPOINT ((105.67 9.43), (98.9 10.3), (99.15 11.3), (99.26…"
15,Bell Beaker Peoples,-2400.1,-2050.1,1747017.2,TRIBAL_AREA,,,Bell Beaker Peoples,Europe,Central Europe,184,80,224,8/22/2026,Bell Beaker Peoples,,"MULTIPOINT ((9.8 45.3), (11.6617 45.4692), (6.15 46.3), (7.5…"
16,California Peoples,-2400.1,-1,178834.7,TRIBAL_AREA,,,California Peoples,North America,East Coast,48,176,192,8/22/2026,California Peoples,,"MULTIPOINT ((-115.64 30.3), (-116.44 31.8), (-118.7 34.8), (…"
17,Caribbean Peoples,-2400.1,-1,1043772.4,TRIBAL_AREA,,,Caribbean Peoples,South America and Caribbean,Caribbean,208,16,16,8/22/2026,Caribbean Peoples,,"MULTIPOINT ((-69.7 9.3), (-67.7 9.3), (-65.7 9.3), (-63.7 9.…"
18,Central African Peoples,-2400.1,-2250.1,5784543.5,TRIBAL_AREA,,,Central African Peoples,Africa,Central Africa,248,16,80,8/22/2026,Central African Peoples,,"MULTIPOINT ((14.05 -9.7), (13.52 -8.87), (14.8 -8.7), (14.05…"
19,Chinchorro Culture,-2400.1,-1,87520.8,TRIBAL_AREA,,,Chinchorro Culture,South America and Caribbean,Andes,224,224,96,8/22/2026,Chinchorro Culture,,"MULTIPOINT ((-69.7 -20.7), (-72.7 -16.2), (-70.7 -16.2), (-6…"
20,Desert Cultures,-2400.1,-1,2456948.3,TRIBAL_AREA,,,Desert Cultures,North America,East Coast,224,32,240,8/22/2026,Desert Cultures,,"MULTIPOINT ((-111.4 24.7), (-105.7 24.3), (-104.7 22.8), (-1…"
21,Dravidians,-2400.1,-1125.1,2631333,TRIBAL_AREA,,,Dravidians,South Asia,North India,240,208,96,8/22/2026,Dravidians,,"MULTIPOINT ((77.3776 8.3706), (76.95 8.75), (77.9 8.75), (76…"
