Index,Name,FromYear,ToYear,Area,Length,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
1,Caucasians,-9998.0,-2400.1,12381.5,,TRIBAL_AREA,,,Caucasians,Southwest Asia,Anatolia-Caucasus,240,224,0,2026-09-17,Caucasians,,"MULTIPOLYGON (((36.7429 40.2471, 36.7348 40.23, 36.7248 40.2…"
2,Finns,-9998.0,-2400.1,16483.7,,TRIBAL_AREA,,,Finns,Europe,Northern Europe,16,240,240,2026-09-17,Finns,,"MULTIPOLYGON (((17.2083 60.3565, 17.1983 60.3406, 17.1862 60…"
3,Iranians,-9998.0,-2400.1,50393.1,,TRIBAL_AREA,,,Iranians,Central and Northern Eurasia,Turkestan,0,240,16,2026-09-17,Iranians,,"MULTIPOLYGON (((60.5042 42.0252, 60.4921 42.0107, 60.4784 41…"
4,Thraco Cimmerians,-9998.0,-2400.1,93557.6,,TRIBAL_AREA,,,Thraco Cimmerians,Central and Northern Eurasia,Pontic-Caspian,80,208,160,2026-09-17,Thraco Cimmerians,,"MULTIPOLYGON (((23.6886 40.3348, 23.6749 40.3219, 23.6597 40…"
5,Egypt: Old Kdm,-2400.3,-2400.2,32111.2,,POLITY,,,Egypt: Old Kdm,Africa,Northeast Africa,96,240,240,2026-09-17,Egypt: Old Kdm,,"POLYGON ((31.4131 29.7279, 31.4172 29.7087, 31.4338 29.6808,…"
6,Egypt: Heracleopolitans,-2400.2,-2400.1,32111.2,,POLITY,,,Egypt: Heracleopolitans,Africa,Northeast Africa,48,240,160,2026-09-17,Egypt: Heracleopolitans,,"POLYGON ((31.4131 29.7279, 31.4172 29.7087, 31.4338 29.6808,…"
7,Aboriginal Peoples,-2400.1,-2350.1,18325360.2,,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,2026-09-17,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
8,Ainu,-2400.1,-1.0,401471.3,,TRIBAL_AREA,,,Ainu,Central and Northern Eurasia,Siberia,64,160,64,2026-09-17,Ainu,,"MULTIPOINT ((140.48 40.71), (140.035 42.46), (141.25 42.96),…"
9,Aleuts,-2400.1,-1.0,229509.0,,TRIBAL_AREA,,,Aleuts,North America,East Coast,112,160,48,2026-09-17,Aleuts,,"MULTIPOINT ((-161.25 55.77), (-160.82 59.13), (-157.7 57.3),…"
10,Amazonian Peoples,-2400.1,-1.0,7468500.8,,TRIBAL_AREA,,,Amazonian Peoples,South America and Caribbean,Amazonia,64,48,208,2026-09-17,Amazonian Peoples,,"MULTIPOINT ((-72.7 -13.2), (-70.7 -13.2), (-73.7 -11.7), (-7…"
11,Andean Peoples,-2400.1,-2300.1,1763775.8,,TRIBAL_AREA,,,Andean Peoples,South America and Caribbean,Andes,192,176,64,2026-09-17,Andean Peoples,,"MULTIPOINT ((-71.7 -38.7), (-72.7 -37.2), (-71.7 -35.7), (-7…"
12,Arctic Marine Mammal Hunters,-2400.1,-1.0,5685162.3,,TRIBAL_AREA,,,Arctic Marine Mammal Hunters,Central and Northern Eurasia,Siberia,128,224,240,2026-09-17,Arctic Marine Mammal Hunters,,"MULTIPOINT ((170.3 61.3), (171.3 62.8), (173.3 62.8), (175.3…"
13,Arctic Peoples,-2400.1,-1.0,4412916.2,,TRIBAL_AREA,,,Arctic Peoples,North America,Arctic America,128,240,176,2026-09-17,Arctic Peoples,,"MULTIPOINT ((-75.7 57.3), (-73.7 57.3), (-76.7 58.8), (-74.7…"
14,Austro-Asiatic Peoples,-2400.1,-1200.1,2238125.5,,TRIBAL_AREA,,,Austro-Asiatic Peoples,Southeast Asia,Mainland Southeast Asia,32,128,16,2026-09-17,Austro-Asiatic Peoples,,"MULTIPOINT ((105.67 9.43), (98.9 10.3), (99.15 11.3), (99.26…"
15,Austronesians,-2400.1,-2350.1,125123.5,,TRIBAL_AREA,,,Austronesians,East Asia,North China,208,128,16,2026-09-17,Austronesians,,"MULTIPOINT ((115.8 23.3), (115.15 24.3), (116.55 24.3), (117…"
16,Bell Beaker Peoples,-2400.1,-2050.1,1747017.2,,TRIBAL_AREA,,,Bell Beaker Peoples,Europe,Central Europe,184,80,224,2026-09-17,Bell Beaker Peoples,,"MULTIPOINT ((9.8 45.3), (11.6617 45.4692), (6.15 46.3), (7.5…"
17,Berbers,-2400.1,-1000.1,663974.4,,TRIBAL_AREA,,,Berbers,Africa,Maghreb,160,176,32,2026-09-17,Berbers,,"MULTIPOINT ((-10.4448 28.8256), (-9.7414 29.5494), (-8.5931 …"
18,California Peoples,-2400.1,-1.0,178834.7,,TRIBAL_AREA,,,California Peoples,North America,East Coast,48,176,192,2026-09-17,California Peoples,,"MULTIPOINT ((-115.64 30.3), (-116.44 31.8), (-118.7 34.8), (…"
19,Caribbean Peoples,-2400.1,-1.0,1043772.4,,TRIBAL_AREA,,,Caribbean Peoples,South America and Caribbean,Caribbean,208,16,16,2026-09-17,Caribbean Peoples,,"MULTIPOINT ((-69.7 9.3), (-67.7 9.3), (-65.7 9.3), (-63.7 9.…"
20,Caucasians,-2400.1,-1950.5,46684.8,,TRIBAL_AREA,,,Caucasians,Southwest Asia,Anatolia-Caucasus,240,224,0,2026-09-17,Caucasians,,"MULTIPOLYGON (((38.5542 38.8871, 38.5421 38.8726, 38.5284 38…"
21,Central African Peoples,-2400.1,-2250.1,5784543.5,,TRIBAL_AREA,,,Central African Peoples,Africa,Central Africa,248,16,80,2026-09-17,Central African Peoples,,"MULTIPOINT ((14.05 -9.7), (13.52 -8.87), (14.8 -8.7), (14.05…"
22,Chinchorro Culture,-2400.1,-1.0,87520.8,,TRIBAL_AREA,,,Chinchorro Culture,South America and Caribbean,Andes,224,224,96,2026-09-17,Chinchorro Culture,,"MULTIPOINT ((-69.7 -20.7), (-72.7 -16.2), (-70.7 -16.2), (-6…"
23,Caral,-2400.1,-1800.0,0.0,,CITY,,,Caral,South America and Caribbean,Andes,1,6,10,2026-09-17,Cities,,POINT (-77.52028 -10.89361)
24,Kerma,-2400.1,-1100.0,0.0,,CITY,,,Kerma,Africa,Northeast Africa,1,2,4,2026-09-17,Cities,,POINT (30.4097 19.6008)
25,Djeba/Watjeset-hor,-2400.1,-331.6,0.0,,CITY,,,Djeba/Watjeset-hor,Africa,Northeast Africa,1,0,6,2026-09-17,Cities,,POINT (32.87333 24.97778)
26,Nubyt,-2400.1,-331.6,0.0,,CITY,,,Nubyt,Africa,Northeast Africa,1,0,7,2026-09-17,Cities,,POINT (32.96193 24.47345)
27,Swenet,-2400.1,-331.6,0.0,,CITY,,,Swenet,Africa,Northeast Africa,1,0,9,2026-09-17,Cities,,POINT (32.89744 24.08145)
28,(Lothal),-2400.1,-1700.0,0.0,,CITY,,,(Lothal),South Asia,North India,1,6,3,2026-09-17,Cities,,POINT (72.24944 22.52139)
