Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
1,Persian Empire,-550.5,-547.1,1689055.3,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((44.9138 35.3128, 44.8703 35.3914, 44.8393 35…"
2,Persian Empire,-547.1,-546.5,2003328.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((39.7275 36.905, 39.7075 36.945, 39.6942 36.9…"
3,Persian Empire,-546.5,-545.5,2137811.1,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((43.2397 35.8721, 43.1724 35.8983, 43.1052 35…"
4,Persian Empire,-545.5,-544.5,2437962.3,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((30.25181 36.30631, 30.23667 36.30467, 30.212…"
5,Persian Empire,-544.5,-543.5,2604490.0,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((28.4737 37.032, 28.465 37.0483, 28.4767 37.0…"
6,Persian Empire,-543.5,-542.5,2864039.2,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.98753 36.21106, 29.98472 36.20706, 29.980…"
7,Persian Empire,-542.5,-541.5,2887791.5,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((28.44528 36.87958, 28.44147 36.87075, 28.436…"
8,Persian Empire,-541.5,-539.2,2925114.3,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.98753 36.21106, 29.98472 36.20706, 29.980…"
9,Persian Empire,-539.2,-536.5,3463818.9,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((30.2987 36.29984, 30.27114 36.30703, 30.2518…"
10,Persian Empire,-536.5,-535.5,3824241.2,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((28.44528 36.87958, 28.44147 36.87075, 28.436…"
11,Persian Empire,-535.5,-534.5,4024924.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((30.2987 36.29984, 30.27114 36.30703, 30.2518…"
12,Persian Empire,-534.5,-533.5,4225349.0,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.98042 36.20609, 29.97767 36.20872, 29.976…"
13,Persian Empire,-533.5,-532.5,4246874.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.98042 36.20609, 29.97767 36.20872, 29.976…"
14,Persian Empire,-532.5,-531.5,4434715.2,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.98042 36.20609, 29.97767 36.20872, 29.976…"
15,Persian Empire,-531.5,-527.5,4499418.0,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.98042 36.20609, 29.97767 36.20872, 29.976…"
16,Persian Empire,-527.5,-526.5,4508690.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((30.23667 36.30467, 30.21289 36.30483, 30.187…"
17,Persian Empire,-526.5,-525.5,4757195.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((32.37161 34.85228, 32.36578 34.8522, 32.3619…"
18,Persian Empire,-525.5,-524.5,5172357.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
19,Persian Empire,-524.5,-523.5,5246433.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
20,Persian Empire,-523.5,-522.8,5412109.3,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
21,Persian Empire,-522.8,-522.5,5205985.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
22,Persian Empire,-522.5,-522.4,5207553.9,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
23,Persian Empire,-522.4,-522.3,5413677.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
24,Persian Empire,-522.3,-522.2,5268986.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
25,Persian Empire,-522.2,-522.1,5327418.0,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
26,Persian Empire,-522.1,-521.9,3636584.9,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
27,Persian Empire,-521.9,-521.5,3809485.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
28,Persian Empire,-521.5,-521.4,4313459.3,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
29,Persian Empire,-521.4,-521.3,4907149.0,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
30,Persian Empire,-521.3,-521.1,5327418.0,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
31,Persian Empire,-521.1,-520.7,5413677.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
32,Persian Empire,-520.7,-520.5,5355246.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
33,Persian Empire,-520.5,-519.5,5753996.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
34,Persian Empire,-519.5,-518.5,6074650.3,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
35,Persian Empire,-518.5,-517.5,6104187.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
36,Persian Empire,-517.5,-516.5,6119200.5,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
37,Persian Empire,-516.5,-515.5,6226660.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
38,Persian Empire,-515.5,-514.5,6537429.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
39,Persian Empire,-514.5,-513.8,6759447.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
40,Persian Empire,-513.8,-512.5,6759490.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
41,Persian Empire,-512.5,-511.5,6884244.1,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
42,Persian Empire,-511.5,-510.5,6884838.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
43,Persian Empire,-510.5,-508.5,6892684.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
44,Persian Empire,-508.5,-499.3,6892867.5,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
45,Persian Empire,-499.3,-499.2,6892864.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
46,Persian Empire,-499.2,-498.5,6873605.1,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.2293 25.7224, 29.0897 25.8794, 28.9345 26…"
47,Persian Empire,-498.5,-498.4,6857159.4,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
48,Persian Empire,-498.4,-497.6,6856002.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.2293 25.7224, 29.0897 25.8794, 28.9345 26…"
49,Persian Empire,-497.6,-497.5,6827469.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.0897 25.8794, 28.9345 26.0233, 28.7948 26…"
50,Persian Empire,-497.5,-497.3,6704102.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((30.5 24.2645, 30.4845 24.3387, 30.4534 24.42…"
51,Persian Empire,-497.3,-497.2,6711497.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.5552 25.4346, 29.3845 25.5523, 29.2293 25…"
52,Persian Empire,-497.2,-495.5,6712702.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.5552 25.4346, 29.3845 25.5523, 29.2293 25…"
53,Persian Empire,-495.5,-494.0,6711654.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((30.5 24.2645, 30.4845 24.3387, 30.4534 24.42…"
54,Persian Empire,-494.0,-493.8,6711931.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((29.5552 25.4346, 29.3845 25.5523, 29.2293 25…"
55,Persian Empire,-493.8,-493.5,6747551.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((27.7317 28.3108, 27.525 28.3608, 27.335 28.3…"
56,Persian Empire,-493.5,-492.3,6765790.5,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
57,Persian Empire,-492.3,-492.1,6774018.1,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
58,Persian Empire,-492.1,-486.5,6892960.9,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
59,Persian Empire,-486.5,-485.5,6832811.5,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
60,Persian Empire,-485.5,-484.9,6772907.2,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
61,Persian Empire,-484.9,-484.3,6833056.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
62,Persian Empire,-484.3,-484.1,6746796.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
63,Persian Empire,-484.1,-482.3,6833056.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
64,Persian Empire,-482.3,-482.1,6746796.8,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
65,Persian Empire,-482.1,-480.4,6833056.6,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
66,Persian Empire,-480.4,-480.1,6892956.7,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
67,Persian Empire,-480.1,-479.4,6892791.2,POLITY,,,196,240,0,2026-08-16,Persian Empire,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
