GroupID,GroupSize,Tile,EntryIndex,LastNameSegment,StackDepth,Role,Overlays,OverlaidBy,AreaKm2,GroupWindowFrom,GroupWindowTo,DistinctWindows,MaxIntersectionRatio,ConfirmedByLog,AllOwnersEver
1,6,120/030,113,Lower Egypt Nome 3 Ahment/Ament,1,BASE,,Revolt of Inaros (36% of THIS entity covered) [-462.3..-454.4],3085.7,-462.3,-454.4,1,1,,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Libyans; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Ptolemy
1,6,120/030,114,Lower Egypt Nome 4 Sap-Res,1,BASE,,Revolt of Inaros (1% of THIS entity covered) [-462.3..-454.4],1131,-462.3,-454.4,1,1,,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Tanites; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Ptolemy
1,6,120/030,115,Lower Egypt Nome 5 Sap-Meh,1,BASE,,Revolt of Inaros (28% of THIS entity covered) [-462.3..-454.4],2241.9,-462.3,-454.4,1,1,,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Tanites; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Khababash; Revolt of Ptolemy
1,6,120/030,117,Lower Egypt Nome 6 Khaset/Kaset,1,BASE,,Revolt of Inaros (10% of THIS entity covered) [-462.3..-454.4],1921.7,-462.3,-454.4,1,1,,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Tanites; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Ptolemy
1,6,120/030,118,Lower Egypt Nome 7 A-ment,1,BASE,,Revolt of Inaros (22% of THIS entity covered) [-462.3..-454.4],1501.3,-462.3,-454.4,1,1,,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Libyans; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Khababash; Revolt of Ptolemy
1,6,120/030,281,Revolt of Inaros,2,OVERLAY,Lower Egypt Nome 3 Ahment/Ament (36% of its own area) [-462.3..-454.4]; Lower Egypt Nome 5 Sap-Meh (28% of its own area) [-462.3..-454.4]; Lower Egypt Nome 7 A-ment (22% of its own area) [-462.3..-454.4]; Lower Egypt Nome 6 Khaset/Kaset (10% of its own area) [-462.3..-454.4]; Lower Egypt Nome 4 Sap-Res (1% of its own area) [-462.3..-454.4],,6907,-462.3,-454.4,1,1,,Revolt of Inaros
2,6,120/035,198,Ammonites,1,BASE,,Israelites (15% of THIS entity covered) [-1115.3..-1110.5],10464.5,-1135.5,-1105.5,2,1,"N part of Zobah to Amurru (overlay); W Ammon, W Gilead, SW Zobah & SW Aram-Dam to Israelites (overlay)",Ammonites; Kingdom of Israel
2,6,120/035,199,Gilead,1,BASE,,Israelites (41% of THIS entity covered) [-1115.3..-1110.5],10900.7,-1135.5,-1105.5,2,1,"N part of Zobah to Amurru (overlay); W Ammon, W Gilead, SW Zobah & SW Aram-Dam to Israelites (overlay)",Aram Damascus; Egypt: Twenty Sixth Dynasty; Gilead; Israel/Samaria; Judah; Kingdom of Israel; Neo Assyrian Empire; Neo Assyrian Tributary; Neo-Babylonian Empire
2,6,120/035,203,Aram-Zobah,1,BASE,,Amurru (100% of THIS entity covered) [-1135.5..-1105.5]; Israelites (5% of THIS entity covered) [-1115.3..-1110.5],9508.1,-1135.5,-1105.5,2,1,"N part of Zobah to Amurru (overlay); W Ammon, W Gilead, SW Zobah & SW Aram-Dam to Israelites (overlay)",Aram-Zobah; Kingdom of Israel
2,6,120/035,204,Aram Damascus,1,BASE,,Israelites (40% of THIS entity covered) [-1115.3..-1110.5],19766.4,-1135.5,-1105.5,2,1,"N part of Zobah to Amurru (overlay); W Ammon, W Gilead, SW Zobah & SW Aram-Dam to Israelites (overlay)",Aram Damascus; Kingdom of Israel
