GroupID,GroupSize,Tile,EntryIndex,ActiveDuringOverlap,AllOwnersEver,AreaKm2,OverlapFromYear,OverlapToYear,DistinctWindows,MaxIntersectionRatio
1,4,120/030,113,Persian Empire,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Libyans; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Ptolemy,3085.7,-462.3,-454.4,1,1.0
1,4,120/030,115,Persian Empire,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Tanites; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Khababash; Revolt of Ptolemy,2241.9,-462.3,-454.4,1,1.0
1,4,120/030,118,Persian Empire,Domain of Ptolemy; Egypt: Areas of Unrest; Egypt: Heracleopolitans; Egypt: Hyksos; Egypt: Middle Kingdom; Egypt: New Kingdom; Egypt: Old Kdm; Egypt: Thebans; Egypt: Thirtieth Dynasty; Egypt: Twenty Eighth Dynasty; Egypt: Twenty Fourth Dynasty; Egypt: Twenty Ninth Dynasty; Egypt: Twenty Second Dynasty; Egypt: Twenty Sixth Dynasty; Kingdom of Kush; Kingdom of Macedon; Kush Tributary; Libyans; Neo Assyrian Empire; Neo Assyrian Tributary; Persian Empire; Ptolemaic Kingdom; Revolt of Khababash; Revolt of Ptolemy,1501.3,-462.3,-454.4,1,1.0
1,4,120/030,281,Revolt of Inaros,Revolt of Inaros,6907.0,-462.3,-454.4,1,1.0
2,4,120/030,193,Neo Assyrian Tributary; Philistia,Judah; Kingdom of Israel; Neo Assyrian Tributary; Philistia; Philistines,5294.9,-843.1,-732.5,4,1.0
2,4,120/030,200,Judah,Egypt: Twenty Sixth Dynasty Tributary; Judah; Kingdom of Israel; Kingdom of Judah; Neo Assyrian Tributary; Neo Babylonian Empire Tributary; Neo-Babylonian Empire; Philistia,1706.2,-843.1,-732.5,4,1.0
2,4,120/030,201,Judah,Egypt: Twenty Sixth Dynasty Tributary; Judah; Kingdom of Israel; Neo Assyrian Tributary; Neo Babylonian Empire Tributary; Neo-Babylonian Empire,109.4,-843.1,-732.5,4,1.0
2,4,120/030,226,Judah,Judah,1200.8,-843.1,-732.5,4,1.0
3,4,120/035,50,Phoenicians,Amurru; Canaanites; Middle Assyrian Empire; Neo Assyrian Tributary; Phoenicians; Proto-Canaanites,134.4,-840.6,-826.8,2,1.0
3,4,120/035,91,Neo Assyrian Tributary,Amurru; Egypt: New Kingdom; Middle Assyrian Empire; Neo Assyrian Tributary; New Hittite Kingdom; Phoenicians; Sea Peoples,4411.8,-840.6,-826.8,2,1.0
