# Manifest of polities merged into cliopatria_master.geojsonl.
# Auto-generated by merge_into_master.py -- do not edit by hand,
# it's overwritten on every merge run.
#
# The master itself is not committed to git (too large -- see
# cliopatria_master.README.md) but is fully reproducible: for each
# name below, with the canonical source data intact, run:
#   python export_polity_polygons.py --polity "<name>" --auto-tiles --out exports/_tmp.geojson
#   python merge_into_master.py --polity "<name>" --geojson exports/_tmp.geojson
#
# name                                   rows
(Marhashi)                               32
Abhiras                                   1
Abilianikhi                               2
Abisara                                   1
Aboriginal Peoples                       29
Acarnania                                 3
Achaea                                   55
Achaean League                            7
Achaeans                                  5
Adena Culture                             1
Aegina                                   10
Aeniania                                  3
Aeolian League                            8
Aeolians                                 42
Aequi                                    40
Aetolia                                   3
Aetolian League                          19
Agathoclid Ally                          11
Ahhiya                                   38
Ainu                                      1
Aitna                                     1
Akkadian Empire                         216
Akkadian Tributary                       47
Akraephia                                 1
Akragas                                  24
Alasiya                                   5
Alavi                                     1
Albanians                                 3
Aleuts                                    1
Alfaterni                                 3
Allabria                                  3
Allakappa                                 1
Allied armies of the Eastern Satraps      1
Alshe                                     2
Alzi                                      2
Amazonian Peoples                         1
Ambashthas                                1
Ambracia                                  3
Ammonites                                10
Amorite Ebla                              1
Amorite Mari                             20
Amorite Tuttul                            1
Amorites                                188
Amurru                                   22
Anarta                                    1
Andean Peoples                            7
Andhra                                    1
Anga                                      4
Anshan                                   12
Antandros                                 2
Anti Macedon Alliance                    62
Anti Roman Alliance                      23
Anti Spartan Alliance                   123
Antigonid Ally                          208
Antigonid Kingdom                       214
Antipatrid Ally                           9
Anupa                                     1
Anuradhapura                              1
Aparytae                                  1
Apollonia                                 4
Arabs                                    17
Aram Damascus                            46
Aram-Naharim                              2
Aram-Zobah                                5
Aramaeans                                39
Arcadia                                   3
Arcadian League                           8
Arctic Marine Mammal Hunters              1
Arctic Peoples                            1
Ardiaei                                   3
Argaric Culture                           1
Argos                                    11
Aryan People                             36
Arzawa                                   89
Asinia                                    1
Assaka                                    2
Assakenoi                                 1
Assyrian Kingdoms                        17
Assyrian revolt                           5
