(Marhashi)	OK	32 features	2026-08-22T18:05:16
Abhiras	OK	1 features	2026-08-22T18:05:16
Abilianikhi	OK	2 features	2026-08-22T18:05:16
Abisara	OK	1 features	2026-08-22T18:05:16
Aboriginal Peoples	OK	29 features	2026-08-22T18:05:16
Acarnania	OK	3 features	2026-08-22T18:05:16
Achaea	OK	55 features	2026-08-22T18:05:16
Achaean League	OK	4 features	2026-08-22T18:05:16
Achaeans	OK	5 features	2026-08-22T18:05:16
Adena Culture	OK	1 features	2026-08-22T18:05:16
Aegina	OK	10 features	2026-08-22T18:05:16
Aeniania	OK	3 features	2026-08-22T18:05:16
Aeolian League	OK	8 features	2026-08-22T18:05:16
Aeolians	OK	42 features	2026-08-22T18:05:16
Aequi	OK	40 features	2026-08-22T18:05:16
Aetolia	OK	3 features	2026-08-22T18:05:16
Aetolian League	OK	19 features	2026-08-22T18:05:16
Agathoclid Ally	OK	11 features	2026-08-22T18:05:16
Ahhiya	OK	38 features	2026-08-22T18:05:16
Ainu	OK	1 features	2026-08-22T18:05:16
Aitna	OK	1 features	2026-08-22T18:05:16
Akkadian Empire	OK	216 features	2026-08-22T18:05:16
Akkadian Tributary	OK	47 features	2026-08-22T18:05:16
Akraephia	OK	1 features	2026-08-22T18:05:16
Akragas	OK	24 features	2026-08-22T18:05:16
Alasiya	OK	5 features	2026-08-22T18:05:16
Alavi	OK	1 features	2026-08-22T18:05:16
Albanians	OK	3 features	2026-08-22T18:05:16
Aleuts	OK	1 features	2026-08-22T18:05:16
Alfaterni	OK	3 features	2026-08-22T18:05:16
Allabria	OK	3 features	2026-08-22T18:05:16
Allakappa	OK	1 features	2026-08-22T18:05:16
Allied armies of the Eastern Satraps	OK	1 features	2026-08-22T18:05:16
Alshe	OK	2 features	2026-08-22T18:05:16
Alzi	OK	2 features	2026-08-22T18:05:16
Amazonian Peoples	OK	1 features	2026-08-22T18:05:16
Ambashthas	OK	1 features	2026-08-22T18:05:16
Ambracia	OK	3 features	2026-08-22T18:05:16
Ammonites	OK	10 features	2026-08-22T18:05:16
Amorite Ebla	OK	1 features	2026-08-22T18:05:16
Amorite Mari	OK	20 features	2026-08-22T18:05:16
Amorite Tuttul	OK	1 features	2026-08-22T18:05:16
Amorites	OK	188 features	2026-08-22T18:05:16
Amurru	OK	22 features	2026-08-22T18:05:16
Anarta	OK	1 features	2026-08-22T18:05:16
Andean Peoples	OK	7 features	2026-08-22T18:05:16
Andhra	OK	1 features	2026-08-22T18:05:16
Anga	OK	4 features	2026-08-22T18:05:16
Anshan	OK	12 features	2026-08-22T18:05:16
Antandros	OK	2 features	2026-08-22T18:05:16
Anti Macedon Alliance	OK	62 features	2026-08-22T18:05:16
Anti Roman Alliance	OK	23 features	2026-08-22T18:05:16
Anti Spartan Alliance	OK	123 features	2026-08-22T18:05:16
Antigonid Ally	OK	207 features	2026-08-22T18:05:16
Antigonid Kingdom	OK	214 features	2026-08-22T18:05:16
Antipatrid Ally	OK	9 features	2026-08-22T18:05:16
Anupa	OK	1 features	2026-08-22T18:05:16
Anuradhapura	OK	1 features	2026-08-22T18:05:16
Aparytae	OK	1 features	2026-08-22T18:05:16
Apollonia	OK	4 features	2026-08-22T18:05:16
Arabs	OK	17 features	2026-08-22T18:06:37
Aram Damascus	OK	46 features	2026-08-22T18:06:37
Aram-Naharim	OK	2 features	2026-08-22T18:06:37
Aram-Zobah	OK	5 features	2026-08-22T18:06:37
Aramaeans	OK	39 features	2026-08-22T18:06:37
Arcadia	OK	3 features	2026-08-22T18:06:37
Arcadian League	OK	8 features	2026-08-22T18:06:37
Arctic Marine Mammal Hunters	OK	1 features	2026-08-22T18:06:37
Arctic Peoples	OK	1 features	2026-08-22T18:06:37
Ardiaei	OK	3 features	2026-08-22T18:06:37
Argaric Culture	OK	1 features	2026-08-22T18:06:37
Argos	OK	11 features	2026-08-22T18:06:37
Aryan People	OK	36 features	2026-08-22T18:06:37
Arzawa	OK	89 features	2026-08-22T18:06:37
Asinia	OK	1 features	2026-08-22T18:06:37
Assaka	OK	2 features	2026-08-22T18:06:37
Assakenoi	OK	1 features	2026-08-22T18:06:37
Assyrian Kingdoms	OK	17 features	2026-08-22T18:06:37
Assyrian revolt	OK	5 features	2026-08-22T18:06:37
Asvaka	OK	1 features	2026-08-22T18:06:37
Athamania	OK	3 features	2026-08-22T18:06:37
Athenian ally	OK	2 features	2026-08-22T18:06:37
Athens	OK	76 features	2026-08-22T18:06:37
Atropatene	OK	1 features	2026-08-22T18:06:37
Atuna	OK	2 features	2026-08-22T18:06:37
Audumbaras	OK	2 features	2026-08-22T18:06:37
Aurunci	OK	5 features	2026-08-22T18:06:37
Austro-Asiatic Peoples	OK	2 features	2026-08-22T18:06:37
Austronesians	OK	30 features	2026-08-22T18:06:37
Avanti	OK	9 features	2026-08-22T18:06:37
Azzi-Hayasa	OK	6 features	2026-08-22T18:06:37
Ba	OK	16 features	2026-08-22T18:06:37
Babylonia	OK	17 features	2026-08-22T18:06:37
Babylonia (Chaldaeans)	OK	34 features	2026-08-22T18:06:37
Babylonia (Isin Dynasty)	OK	20 features	2026-08-22T18:06:37
Babylonian Tributary	OK	24 features	2026-08-22T18:06:37
Babylonian revolt	OK	13 features	2026-08-22T18:06:37
Bactrians	OK	3 features	2026-08-22T18:06:37
Baipu	OK	1 features	2026-08-22T18:06:37
Balts	OK	2 features	2026-08-22T18:06:37
Bantu Peoples	OK	37 features	2026-08-22T18:06:37
Bao	OK	1 features	2026-08-22T18:06:37
Bao clan	OK	1 features	2026-08-22T18:06:37
Bedouins	OK	17 features	2026-08-22T18:06:37
Bell Beaker Peoples	OK	1 features	2026-08-22T18:06:37
Berbers	OK	5 features	2026-08-22T18:06:37
Bessaei	OK	1 features	2026-08-22T18:06:37
Bhagga	OK	1 features	2026-08-22T18:06:37
Bhojas	OK	1 features	2026-08-22T18:06:37
Bit Agusi	OK	12 features	2026-08-22T18:06:37
Bit-Adini	OK	4 features	2026-08-22T18:06:37
Bit-Bahiani	OK	1 features	2026-08-22T18:06:37
Bit-Halupe	OK	1 features	2026-08-22T18:06:37
Bit-Zamani	OK	2 features	2026-08-22T18:06:37
Bithynia	OK	6 features	2026-08-22T18:06:37
Biyang	OK	1 features	2026-08-22T18:06:37
Bo	OK	1 features	2026-08-22T18:06:37
Boeotia	OK	15 features	2026-08-22T18:06:37
Bosporan Kingdom	OK	16 features	2026-08-22T18:06:37
