Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
1,Roman Ally,-486.5,-390.6,1015.4,POLITY,,,248,208,112,2026-08-16,Roman Ally,"POLYGON ((13.1307 41.8955, 13.1486 41.8893, 13.1817 41.8645,…"
2,Roman Ally,-390.6,-389.9,2333.5,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.1486 41.8893, 13.1817 41.8645, 13.23 41.8…"
3,Roman Ally,-389.9,-389.5,1318.1,POLITY,,,248,208,112,2026-08-16,Roman Ally,"POLYGON ((12.0241 42.2093, 12.0614 42.23, 12.1152 42.2672, 1…"
4,Roman Ally,-389.5,-358.6,1509.1,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.0241 42.2093, 12.0614 42.23, 12.1152 42.2…"
5,Roman Ally,-358.6,-353.9,2524.5,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.1817 41.8645, 13.23 41.8452, 13.281 41.83…"
6,Roman Ally,-353.9,-353.5,1206.4,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.1486 41.8893, 13.1817 41.8645, 13.23 41.8…"
7,Roman Ally,-353.5,-343.2,2079.7,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.1817 41.8645, 13.23 41.8452, 13.281 41.83…"
8,Roman Ally,-343.2,-342.8,3725.0,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.9335 41.03214, 13.93703 41.03639, 13.9372…"
9,Roman Ally,-342.8,-341.2,3886.0,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.9335 41.03214, 13.93703 41.03639, 13.9372…"
10,Roman Ally,-341.2,-339.5,2240.6,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.1817 41.8645, 13.23 41.8452, 13.281 41.83…"
11,Roman Ally,-339.5,-338.5,2304.1,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((14.47286 40.70439, 14.47347 40.70595, 14.475…"
12,Roman Ally,-338.5,-334.5,4666.6,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0311 41.616, 13.0239 41.6046, 13.0198 41.…"
13,Roman Ally,-334.5,-326.7,5484.9,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0772 41.5371, 13.092 41.523, 13.0958 41.5…"
14,Roman Ally,-326.7,-318.5,5670.1,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
15,Roman Ally,-318.5,-313.3,12014.5,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
16,Roman Ally,-313.3,-310.6,11674.9,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
17,Roman Ally,-310.6,-310.4,12699.1,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
18,Roman Ally,-310.4,-308.1,15791.9,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.9015 41.5955, 12.8953 41.613, 12.8859 41.…"
19,Roman Ally,-308.1,-307.5,15809.8,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.9015 41.5955, 12.8953 41.613, 12.8859 41.…"
20,Roman Ally,-307.5,-306.6,14929.4,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.9015 41.5955, 12.8953 41.613, 12.8859 41.…"
21,Roman Ally,-306.6,-305.5,15809.8,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.9015 41.5955, 12.8953 41.613, 12.8859 41.…"
22,Roman Ally,-305.5,-304.5,15881.8,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.9015 41.5955, 12.8953 41.613, 12.8859 41.…"
