Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,geometry
1,Roman Latin Colony,-495.7,-492.5,92.6,POLITY,,,248,192,16,2026-08-16,"POLYGON ((12.9976 41.6803, 12.9945 41.6755, 12.9883 41.6672,…"
2,Roman Latin Colony,-492.5,-442.5,185.8,POLITY,,,248,192,16,2026-08-16,"POLYGON ((13.0311 41.616, 13.0239 41.6046, 13.0198 41.5901, …"
3,Roman Latin Colony,-442.5,-393.5,377.7,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.0311 41.616, 13.0239 41.6046, 13.0198 41.…"
4,Roman Latin Colony,-393.5,-389.9,460.1,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.10636 41.23784, 13.09203 41.22508, 13.080…"
5,Roman Latin Colony,-389.9,-385.5,377.7,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.0311 41.616, 13.0239 41.6046, 13.0198 41.…"
6,Roman Latin Colony,-385.5,-383.5,437.8,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.0615 41.5479, 13.0772 41.5371, 13.092 41.…"
7,Roman Latin Colony,-383.5,-341.2,540.9,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.0615 41.5479, 13.0772 41.5371, 13.092 41.…"
8,Roman Latin Colony,-341.2,-338.5,103.1,POLITY,,,248,192,16,2026-08-16,"POLYGON ((12.3891 42.2703, 12.385 42.2569, 12.3839 42.2486, …"
9,Roman Latin Colony,-338.5,-334.5,377.4,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.10636 41.23784, 13.09203 41.22508, 13.080…"
10,Roman Latin Colony,-334.5,-328.5,406.2,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((14.1624 41.2046, 14.1728 41.1902, 14.1717 41…"
11,Roman Latin Colony,-328.5,-321.5,561.7,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((14.1624 41.2046, 14.1728 41.1902, 14.1717 41…"
12,Roman Latin Colony,-321.5,-314.5,377.4,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((13.10636 41.23784, 13.09203 41.22508, 13.080…"
13,Roman Latin Colony,-314.5,-313.5,987.2,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((14.1624 41.2046, 14.1728 41.1902, 14.1717 41…"
14,Roman Latin Colony,-313.5,-313.3,997.4,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94906 40.89797, 12.94189 40.89925, 12.938…"
15,Roman Latin Colony,-313.3,-312.5,1422.4,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94906 40.89797, 12.94189 40.89925, 12.938…"
16,Roman Latin Colony,-312.5,-303.5,1645.0,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94906 40.89797, 12.94189 40.89925, 12.938…"
17,Roman Latin Colony,-303.5,-299.5,2158.7,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94906 40.89797, 12.94189 40.89925, 12.938…"
18,Roman Latin Colony,-299.5,-298.5,2266.3,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94906 40.89797, 12.94189 40.89925, 12.938…"
19,Roman Latin Colony,-298.5,-291.5,2487.2,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94906 40.89797, 12.94189 40.89925, 12.938…"
20,Roman Latin Colony,-291.5,-288.5,3576.1,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94189 40.89925, 12.93897 40.90294, 12.942…"
21,Roman Latin Colony,-288.5,-273.5,3961.3,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94189 40.89925, 12.93897 40.90294, 12.942…"
22,Roman Latin Colony,-273.5,-268.5,4573.4,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94189 40.89925, 12.93897 40.90294, 12.942…"
23,Roman Latin Colony,-268.5,-264.5,5483.3,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94189 40.89925, 12.93897 40.90294, 12.942…"
24,Roman Latin Colony,-264.5,-263.5,6180.8,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94189 40.89925, 12.93897 40.90294, 12.942…"
25,Roman Latin Colony,-263.5,-1.0,6618.2,POLITY,,,248,192,16,2026-08-16,"MULTIPOLYGON (((12.94189 40.89925, 12.93897 40.90294, 12.942…"
26,Aesernia,-263.5,-1.0,437.4,POLITY,,(Roman Latin Colony),248,193,25,2026-08-16,"POLYGON ((14.3059 41.4866, 14.3245 41.499, 14.3307 41.5279, …"
27,Alba Fucens,-303.5,-1.0,410.0,POLITY,,(Roman Latin Colony),248,193,16,2026-08-16,"POLYGON ((13.4428 41.9966, 13.4449 42.0193, 13.4594 42.0524,…"
28,Ardea,-442.5,-341.2,192.0,POLITY,,(Roman Latin Colony),248,192,21,2026-08-16,"POLYGON ((12.57411 41.51045, 12.5817 41.5133, 12.5958 41.521…"
29,Ardea,-338.5,-1.0,192.0,POLITY,,(Roman Latin Colony),248,192,21,2026-08-16,"POLYGON ((12.57411 41.51045, 12.5817 41.5133, 12.5958 41.521…"
30,Ariminum,-268.5,-1.0,315.6,POLITY,,(Roman Latin Colony),248,193,21,2026-08-16,"POLYGON ((12.48525 44.14267, 12.47153 44.14489, 12.45903 44.…"
31,Beneventum,-268.5,-1.0,594.3,POLITY,,(Roman Latin Colony),248,193,22,2026-08-16,"POLYGON ((14.6618 41.2096, 14.6701 41.1951, 14.6742 41.1641,…"
32,Cales,-334.5,-321.5,28.8,POLITY,,(Roman Latin Colony),248,192,25,2026-08-16,"POLYGON ((14.1324 41.2264, 14.12 41.2202, 14.1076 41.2077, 1…"
33,Cales,-314.5,-1.0,28.8,POLITY,,(Roman Latin Colony),248,192,25,2026-08-16,"POLYGON ((14.1324 41.2264, 14.12 41.2202, 14.1076 41.2077, 1…"
34,Carseoli,-298.5,-1.0,220.9,POLITY,,(Roman Latin Colony),248,193,17,2026-08-16,"POLYGON ((13.2173 42.0607, 13.1966 42.0462, 13.1801 42.0338,…"
35,Circeii,-393.5,-389.9,82.4,POLITY,,(Roman Latin Colony),248,192,22,2026-08-16,"POLYGON ((13.14817 41.26542, 13.1422 41.27295, 13.14061 41.2…"
36,Circeii,-338.5,-1.0,82.4,POLITY,,(Roman Latin Colony),248,192,22,2026-08-16,"POLYGON ((13.14817 41.26542, 13.1422 41.27295, 13.14061 41.2…"
37,Cusa,-273.5,-1.0,190.7,POLITY,,(Roman Latin Colony),248,193,23,2026-08-16,"POLYGON ((11.2093 42.5262, 11.2362 42.5262, 11.2548 42.5179,…"
38,Firmum,-264.5,-1.0,697.5,POLITY,,(Roman Latin Colony),248,193,26,2026-08-16,"POLYGON ((13.74217 43.2945, 13.75186 43.28006, 13.75614 43.2…"
39,Fregellae,-328.5,-321.5,155.5,POLITY,,(Roman Latin Colony),248,192,26,2026-08-16,"POLYGON ((13.6348 41.5731, 13.6152 41.5835, 13.5934 41.5938,…"
40,Fregellae,-314.5,-1.0,155.5,POLITY,,(Roman Latin Colony),248,192,26,2026-08-16,"POLYGON ((13.6348 41.5731, 13.6152 41.5835, 13.5934 41.5938,…"
41,Hadria,-288.5,-1.0,385.2,POLITY,,(Roman Latin Colony),248,193,20,2026-08-16,"POLYGON ((14.03053 42.66011, 14.02481 42.6575, 14.01628 42.6…"
42,Interamna,-312.5,-1.0,222.5,POLITY,,(Roman Latin Colony),248,192,31,2026-08-16,"POLYGON ((13.83075 41.43214, 13.8236 41.4338, 13.8029 41.441…"
43,Luceria,-314.5,-1.0,425.5,POLITY,,(Roman Latin Colony),248,192,27,2026-08-16,"POLYGON ((15.36789 41.45931, 15.3755 41.4683, 15.3817 41.485…"
44,Narnia,-299.5,-1.0,107.5,POLITY,,(Roman Latin Colony),248,193,19,2026-08-16,"POLYGON ((12.5925 42.5009, 12.5822 42.5113, 12.578 42.5216, …"
45,Nepete,-383.5,-1.0,46.5,POLITY,,(Roman Latin Colony),248,192,23,2026-08-16,"POLYGON ((12.3901 42.2762, 12.3891 42.2703, 12.385 42.2569, …"
46,Norba,-492.5,-341.2,93.1,POLITY,,(Roman Latin Colony),248,192,19,2026-08-16,"POLYGON ((12.9831 41.6569, 12.9742 41.6501, 12.9556 41.6346,…"
47,Paestum,-273.5,-1.0,421.4,POLITY,,(Roman Latin Colony),248,193,24,2026-08-16,"POLYGON ((14.93256 40.49078, 14.9451 40.5053, 14.9668 40.520…"
48,Pontiae,-313.5,-1.0,10.1,POLITY,,(Roman Latin Colony),248,192,30,2026-08-16,"POLYGON ((12.95025 40.87803, 12.96125 40.88264, 12.97064 40.…"
49,Saticula,-313.3,-1.0,85.5,POLITY,,(Roman Latin Colony),248,192,28,2026-08-16,"POLYGON ((14.46364 41.17189, 14.4752 41.1674, 14.4897 41.159…"
50,Setia,-385.5,-341.2,60.1,POLITY,,(Roman Latin Colony),248,192,20,2026-08-16,"POLYGON ((12.9887 41.5332, 13.0001 41.5394, 13.0167 41.5529,…"
51,Signia,-495.7,-341.2,92.6,POLITY,,(Roman Latin Colony),248,192,18,2026-08-16,"POLYGON ((12.9976 41.6803, 12.9945 41.6755, 12.9883 41.6672,…"
