Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,geometry
1,Roman Republic,-509.4,-507.5,933.6,POLITY,,,240,240,160,"MULTIPOLYGON (((13.34022 41.29117, 13.31817 41.29325, 13.303…"
2,Roman Republic,-507.5,-504.5,778.0,POLITY,,,240,240,160,"POLYGON ((12.37033 41.68764, 12.3821 41.6962, 12.3934 41.707…"
3,Roman Republic,-504.5,-504.4,924.3,POLITY,,,240,240,160,"POLYGON ((12.22911 41.74614, 12.22028 41.746, 12.21695 41.74…"
4,Roman Republic,-504.4,-500.5,995.9,POLITY,,,240,240,160,"POLYGON ((12.22028 41.746, 12.21695 41.74811, 12.22381 41.75…"
5,Roman Republic,-500.5,-499.5,1046.5,POLITY,,,240,240,160,"POLYGON ((12.22028 41.746, 12.21695 41.74811, 12.22381 41.75…"
6,Roman Republic,-499.5,-494.5,1457.7,POLITY,,,240,240,160,"MULTIPOLYGON (((12.9225 41.9042, 12.93 41.9, 12.9408 41.8925…"
7,Roman Republic,-494.5,-492.5,1568.1,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7308 41.7058, 12.7283 41.7133, 12.7283 41…"
8,Roman Republic,-492.5,-482.5,1157.0,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
9,Roman Republic,-482.5,-477.5,1075.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
10,Roman Republic,-477.5,-476.5,984.6,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
11,Roman Republic,-476.5,-474.5,1075.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
12,Roman Republic,-474.5,-467.6,1106.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
13,Roman Republic,-467.6,-459.8,1219.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
14,Roman Republic,-459.8,-459.6,1106.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.7292 41.6925, 12.7308 41.7058, 12.7283 41…"
15,Roman Republic,-459.6,-438.5,1219.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
16,Roman Republic,-438.5,-435.4,1188.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
17,Roman Republic,-435.4,-426.6,1219.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
18,Roman Republic,-426.6,-426.4,1188.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
19,Roman Republic,-426.4,-418.2,1219.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
20,Roman Republic,-418.2,-410.7,1266.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.68358 41.45567, 12.67208 41.45675, 12.667…"
21,Roman Republic,-410.7,-410.3,1155.6,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
22,Roman Republic,-410.3,-406.5,1266.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.68358 41.45567, 12.67208 41.45675, 12.667…"
23,Roman Republic,-406.5,-405.7,1421.7,POLITY,,,240,240,160,"MULTIPOLYGON (((13.30314 41.29631, 13.27828 41.29592, 13.270…"
24,Roman Republic,-405.7,-402.5,1472.2,POLITY,,,240,240,160,"MULTIPOLYGON (((13.30314 41.29631, 13.27828 41.29592, 13.270…"
25,Roman Republic,-402.5,-400.5,1316.7,POLITY,,,240,240,160,"MULTIPOLYGON (((12.68358 41.45567, 12.67208 41.45675, 12.667…"
26,Roman Republic,-400.5,-396.5,1472.2,POLITY,,,240,240,160,"MULTIPOLYGON (((13.30314 41.29631, 13.27828 41.29592, 13.270…"
27,Roman Republic,-396.5,-395.5,1853.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
28,Roman Republic,-395.5,-394.6,2028.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
29,Roman Republic,-394.6,-389.9,2189.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
30,Roman Republic,-389.9,-389.3,1965.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
31,Roman Republic,-389.3,-387.5,2068.9,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
32,Roman Republic,-387.5,-385.5,2289.9,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
33,Roman Republic,-385.5,-383.5,2322.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
34,Roman Republic,-383.5,-381.6,2219.1,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
35,Roman Republic,-381.6,-381.3,2186.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
36,Roman Republic,-381.3,-380.1,2229.9,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
37,Roman Republic,-380.1,-377.4,2340.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
38,Roman Republic,-377.4,-371.5,2453.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
39,Roman Republic,-371.5,-367.5,2342.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
40,Roman Republic,-367.5,-361.7,2453.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
41,Roman Republic,-361.7,-358.6,2471.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.22381 41.75536, 12.21964 41.76019, 12.218…"
42,Roman Republic,-358.6,-357.7,2453.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
43,Roman Republic,-357.7,-355.5,2292.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
44,Roman Republic,-355.5,-353.5,2313.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
45,Roman Republic,-353.5,-348.5,2654.9,POLITY,,,240,240,160,"MULTIPOLYGON (((12.22381 41.75536, 12.21964 41.76019, 12.218…"
46,Roman Republic,-348.5,-347.7,2687.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.22381 41.75536, 12.21964 41.76019, 12.218…"
47,Roman Republic,-347.7,-341.2,2542.1,POLITY,,,240,240,160,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
48,Roman Republic,-341.2,-340.2,2600.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.5267 41.6767, 12.5267 41.6708, 12.5233 41…"
49,Roman Republic,-340.2,-338.5,4245.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.5267 41.6767, 12.5267 41.6708, 12.5233 41…"
50,Roman Republic,-338.5,-334.5,7634.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.67208 41.45675, 12.66728 41.45889, 12.656…"
51,Roman Republic,-334.5,-320.4,8025.5,POLITY,,,240,240,160,"POLYGON ((12.72139 41.43881, 12.70103 41.44897, 12.68358 41.…"
52,Roman Republic,-320.4,-315.6,8451.0,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
53,Roman Republic,-315.6,-313.3,8111.1,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
54,Roman Republic,-313.3,-312.3,8025.5,POLITY,,,240,240,160,"POLYGON ((12.72139 41.43881, 12.70103 41.44897, 12.68358 41.…"
55,Roman Republic,-312.3,-303.5,8097.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
56,Roman Republic,-303.5,-303.4,8737.6,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
57,Roman Republic,-303.4,-293.5,10674.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
58,Roman Republic,-293.5,-293.2,10513.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
59,Roman Republic,-293.2,-290.2,10674.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
60,Roman Republic,-290.2,-283.4,17479.9,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
61,Roman Republic,-283.4,-282.6,20071.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
62,Roman Republic,-282.6,-282.4,20270.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
63,Roman Republic,-282.4,-282.3,20604.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
64,Roman Republic,-282.3,-281.2,20405.9,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
65,Roman Republic,-281.2,-280.4,20604.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
66,Roman Republic,-280.4,-280.3,20071.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
67,Roman Republic,-280.3,-278.9,20225.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
68,Roman Republic,-278.9,-273.5,20071.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
69,Roman Republic,-273.5,-272.5,20944.7,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
70,Roman Republic,-272.5,-268.6,21145.4,POLITY,,,240,240,160,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
71,Roman Republic,-268.6,-268.5,25178.6,POLITY,,,240,240,160,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
72,Roman Republic,-268.5,-267.5,25002.1,POLITY,,,240,240,160,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
73,Roman Republic,-267.5,-264.6,26737.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
74,Roman Republic,-264.6,-263.5,28974.7,POLITY,,,240,240,160,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
75,Roman Republic,-263.5,-261.5,28537.3,POLITY,,,240,240,160,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
76,Roman Republic,-261.5,-260.3,40243.6,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
77,Roman Republic,-260.3,-259.6,43726.1,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
78,Roman Republic,-259.6,-258.5,43889.5,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
79,Roman Republic,-258.5,-258.3,46021.2,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
80,Roman Republic,-258.3,-254.1,46964.0,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
81,Roman Republic,-254.1,-1.0,49551.8,POLITY,,,240,240,160,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
82,Antium,-467.6,-459.8,112.8,POLITY,,(Roman Republic),240,240,172,"POLYGON ((12.72661 41.43525, 12.7282 41.4355, 12.729 41.448,…"
83,Antium,-459.6,-389.9,112.8,POLITY,,(Roman Republic),240,240,172,"POLYGON ((12.72661 41.43525, 12.7282 41.4355, 12.729 41.448,…"
84,Antium,-377.4,-347.7,112.8,POLITY,,(Roman Republic),240,240,172,"POLYGON ((12.72661 41.43525, 12.7282 41.4355, 12.729 41.448,…"
85,Anxur,-509.4,-507.5,155.5,POLITY,,(Roman Republic),240,241,167,"POLYGON ((13.3479 41.2897, 13.3481 41.3037, 13.3458 41.3161,…"
86,Anxur,-406.5,-402.5,155.5,POLITY,,(Roman Republic),240,241,167,"POLYGON ((13.3479 41.2897, 13.3481 41.3037, 13.3458 41.3161,…"
87,Anxur,-400.5,-338.5,155.5,POLITY,,(Roman Republic),240,241,167,"POLYGON ((13.3479 41.2897, 13.3481 41.3037, 13.3458 41.3161,…"
88,Campania,-340.2,-1.0,1645.3,POLITY,,(Roman Republic),240,242,170,"POLYGON ((13.91642 41.02183, 13.9327 41.03164, 13.9335 41.03…"
89,Capena,-395.5,-338.5,174.8,POLITY,,(Roman Republic),240,241,170,"POLYGON ((12.4083 42.1197, 12.4186 42.1321, 12.42447 42.1409…"
90,Crustumerium,-500.5,-482.5,50.5,POLITY,,(Roman Republic),240,240,168,"POLYGON ((12.5767 41.9917, 12.5792 41.9992, 12.5833 42.0042,…"
91,Crustumerium,-405.7,-338.5,50.5,POLITY,,(Roman Republic),240,240,168,"POLYGON ((12.5767 41.9917, 12.5792 41.9992, 12.5833 42.0042,…"
92,Falerii,-394.6,-357.7,161.0,POLITY,,(Roman Republic),240,241,171,"POLYGON ((12.443 42.19795, 12.44375 42.20458, 12.44267 42.21…"
93,Ferentinum,-361.7,-358.6,18.1,POLITY,,(Roman Republic),240,242,164,"POLYGON ((13.2782 41.6958, 13.2776 41.6989, 13.2766 41.7019,…"
94,Ficulea,-504.4,-338.5,40.4,POLITY,,(Roman Republic),240,240,167,"POLYGON ((12.5767 41.9917, 12.5883 41.9867, 12.605 41.9808, …"
95,Fidenae,-504.4,-482.5,31.2,POLITY,,(Roman Republic),240,240,166,"POLYGON ((12.49722 41.94673, 12.49925 41.94584, 12.50206 41.…"
96,Fidenae,-474.5,-438.5,31.2,POLITY,,(Roman Republic),240,240,166,"POLYGON ((12.49722 41.94673, 12.49925 41.94584, 12.50206 41.…"
97,Gabii,-341.2,-338.5,57.6,POLITY,,(Roman Republic),240,242,169,"POLYGON ((12.6508 41.85, 12.6575 41.8492, 12.6667 41.8492, 1…"
98,Garrison,-282.6,-282.4,199.0,POLITY,,(Roman Republic),240,243,166,"POLYGON ((16.55208 39.64786, 16.53614 39.66025, 16.52836 39.…"
99,Garrison,-282.4,-282.3,533.4,POLITY,,(Roman Republic),240,243,166,"MULTIPOLYGON (((15.638 38.01672, 15.64078 38.02397, 15.65106…"
100,Garrison,-282.3,-281.2,334.5,POLITY,,(Roman Republic),240,243,166,"MULTIPOLYGON (((15.638 38.01672, 15.64078 38.02397, 15.65106…"
