Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
1,Abhiras,-610.1,-317.5,12460.9,POLITY,,,Abhiras,South Asia,North India,244,243,254,2026-08-21,Abhiras,,"POLYGON ((71.0453 26.1336, 71.1292 26.1248, 71.2262 26.1248,…"
2,Aboriginal Peoples,-1000.1,-1.0,8023798.6,TRIBAL_AREA,,,Aboriginal Peoples,Oceania-Australia,Australia,144,32,128,2026-08-21,Aboriginal Peoples,,"MULTIPOINT ((146.6 -42.7), (145.6 -41.5), (147.6 -41.5), (14…"
3,Acarnania,-695.5,-429.2,2213.8,POLITY,,,Acarnania,Europe,Southern Europe,224,240,32,2026-08-21,Acarnania,,"POLYGON ((21.2602 38.7778, 21.2683 38.7715, 21.2821 38.7644,…"
4,Achaea,-550.0,-485.5,4549.6,POLITY,,,Achaea,Europe,Southern Europe,220,208,48,2026-08-21,Achaea,,"MULTIPOLYGON (((21.3605 38.11075, 21.36264 38.11434, 21.3634…"
5,Caulonia,-649.5,-430.5,259.9,POLITY,,(Achaea),Achaea - Caulonia,Europe,Southern Europe,220,208,54,2026-08-21,Achaea,,"POLYGON ((16.509 38.37, 16.5098 38.3825, 16.509 38.395, 16.5…"
6,Croton,-550.0,-485.5,234.4,POLITY,,(Achaea),Achaea - Croton,Europe,Southern Europe,220,208,60,2026-08-21,Achaea,,"POLYGON ((16.1905 38.9414, 16.2022 38.946, 16.2132 38.9521, …"
7,Temesa,-615.5,-485.5,234.4,POLITY,,(Croton),Achaea - Croton - Temesa,Europe,Southern Europe,220,208,60,2026-08-21,Achaea,,"POLYGON ((16.1905 38.9414, 16.2022 38.946, 16.2132 38.9521, …"
8,Laus,-638.5,-390.6,196.6,POLITY,,(Achaea),Achaea - Laus,Europe,Southern Europe,220,208,55,2026-08-21,Achaea,,"POLYGON ((15.8307 39.6679, 15.8431 39.6695, 15.8553 39.6726,…"
9,Metapontum,-660.5,-380.5,191.1,POLITY,,(Achaea),Achaea - Metapontum,Europe,Southern Europe,220,208,53,2026-08-21,Achaea,,"POLYGON ((16.905 40.4427, 16.897 40.4523, 16.8878 40.4609, 1…"
10,Poseidonia,-617.5,-410.5,211.6,POLITY,,(Achaea),Achaea - Poseidonia,Europe,Southern Europe,220,208,58,2026-08-21,Achaea,,"POLYGON ((14.9517 40.3362, 14.9627 40.3302, 14.9744 40.3255,…"
11,Pyxous,-634.5,-400.1,200.0,POLITY,,(Achaea),Achaea - Pyxous,Europe,Southern Europe,220,208,57,2026-08-21,Achaea,,"POLYGON ((15.6118 40.0839, 15.611 40.0964, 15.6087 40.1088, …"
12,Sybaris,-719.5,-476.7,199.0,POLITY,,(Achaea),Achaea - Sybaris,Europe,Southern Europe,220,208,50,2026-08-21,Achaea,,"POLYGON ((16.55208 39.64786, 16.53614 39.66025, 16.52836 39.…"
13,Adena Culture,-800.1,-1.0,115209.0,TRIBAL_AREA,,,Adena Culture,North America,East Coast,48,224,0,2026-08-21,Adena Culture,,"MULTIPOINT ((-85.7 39.3), (-84.7 37.8), (-82.7 37.8), (-80.7…"
14,Aegina,-500.1,-491.5,83.6,POLITY,,,Aegina,Europe,Southern Europe,224,160,96,2026-08-21,Aegina,,"POLYGON ((23.48511 37.67753, 23.49395 37.68267, 23.49945 37.…"
15,Aeniania,-695.5,-395.3,459.5,POLITY,,,Aeniania,Europe,Southern Europe,152,208,128,2026-08-21,Aeniania,,"POLYGON ((21.9373 39.0855, 21.9476 39.0813, 21.9518 39.071, …"
16,Aeolians,-527.5,-480.5,151.9,TRIBAL_AREA,,,Aeolians,Central and Northern Eurasia,Siberia,240,160,144,2026-08-21,Aeolians,,"POLYGON ((36.7314 45.1171, 36.7436 45.1202, 36.7553 45.1248,…"
17,Hermonassa,-587.5,-480.5,151.9,POLITY,,(Aeolians),Aeolians - Hermonassa,Central and Northern Eurasia,Siberia,240,160,153,2026-08-21,Aeolians,,"POLYGON ((36.7314 45.1171, 36.7436 45.1202, 36.7553 45.1248,…"
18,Aetolia,-695.5,-404.7,4686.1,POLITY,,,Aetolia,Europe,Southern Europe,32,176,208,2026-08-21,Aetolia,,"POLYGON ((21.10578 38.34284, 21.10497 38.34167, 21.1092 38.3…"
19,Ainu,-2400.1,-1.0,401471.3,TRIBAL_AREA,,,Ainu,Central and Northern Eurasia,Siberia,64,160,64,2026-08-21,Ainu,,"MULTIPOINT ((140.48 40.71), (140.035 42.46), (141.25 42.96),…"
20,Akragas,-500.1,-486.5,350.1,TRIBAL_AREA,,,Akragas,Europe,Southern Europe,160,112,224,2026-08-21,Akragas,,"MULTIPOLYGON (((13.65442 37.21303, 13.64397 37.22542, 13.635…"
21,Heraclea Minoa,-500.1,-486.5,136.6,POLITY,,(Akragas),Akragas - Heraclea Minoa,Europe,Southern Europe,160,112,225,2026-08-21,Akragas,,"POLYGON ((13.3728 37.3551, 13.3767 37.3671, 13.379 37.3794, …"
22,Alavi,-610.1,-467.5,2144.5,POLITY,,,Alavi,South Asia,North India,224,240,240,2026-08-21,Alavi,,"POLYGON ((84.4322 27.0507, 84.4278 27.0288, 84.4147 27.0025,…"
23,Aleuts,-2400.1,-1.0,229509.0,TRIBAL_AREA,,,Aleuts,North America,East Coast,112,160,48,2026-08-21,Aleuts,,"MULTIPOINT ((-161.25 55.77), (-160.82 59.13), (-157.7 57.3),…"
24,Allakappa,-610.1,-467.5,3144.3,POLITY,,,Allakappa,South Asia,North India,208,240,48,2026-08-21,Allakappa,,"POLYGON ((84.19906 27.60975, 84.2045 27.5893, 84.1913 27.558…"
25,Amazonian Peoples,-2400.1,-1.0,7468500.8,TRIBAL_AREA,,,Amazonian Peoples,South America and Caribbean,Amazonia,64,48,208,2026-08-21,Amazonian Peoples,,"MULTIPOINT ((-72.7 -13.2), (-70.7 -13.2), (-73.7 -11.7), (-7…"
26,Ambashthas,-610.1,-400.5,3534.9,POLITY,,,Ambashthas,South Asia,Pakistan,244,243,250,2026-08-21,Ambashthas,,"POLYGON ((71.19908 30, 71.199 30.003, 71.20067 30.00761, 71.…"
27,Anarta,-610.1,-317.5,29563.3,POLITY,,,Anarta,South Asia,North India,208,192,0,2026-08-21,Anarta,,"POLYGON ((72.6669 23.2385, 72.6537 23.3047, 72.6625 23.362, …"
28,Andean Peoples,-900.1,-1.0,1556672.0,TRIBAL_AREA,,,Andean Peoples,South America and Caribbean,Andes,192,176,64,2026-08-21,Andean Peoples,,"MULTIPOINT ((-71.7 -38.7), (-72.7 -37.2), (-71.7 -35.7), (-7…"
29,Andhra,-610.1,-300.5,22581.1,POLITY,,,Andhra,South Asia,North India,244,128,112,2026-08-21,Andhra,,"POLYGON ((82.0456 16.44461, 82.0145 16.5456, 81.9659 16.6294…"
30,Anupa,-610.1,-348.5,21221.7,POLITY,,,Anupa,South Asia,North India,224,224,240,2026-08-21,Anupa,,"POLYGON ((76.5949 21.7505, 76.6743 21.7329, 76.767 21.6887, …"
31,Arabs,-526.5,-1.0,1723266.5,TRIBAL_AREA,,,Arabs,Southwest Asia,Arabia,136,224,176,2026-08-21,Arabs,Contained in border: North Arabian Semites,"MULTIPOINT ((43.3 18.3), (42.3 19.8), (44.3 19.8), (49.3 15.…"
32,Arcadia,-742.5,-480.9,4318.4,POLITY,,,Arcadia,Europe,Southern Europe,64,208,176,2026-08-21,Arcadia,,"POLYGON ((21.8348 37.9614, 21.8334 37.9393, 21.8252 37.9062,…"
33,Arctic Marine Mammal Hunters,-2400.1,-1.0,5685162.3,TRIBAL_AREA,,,Arctic Marine Mammal Hunters,Central and Northern Eurasia,Siberia,128,224,240,2026-08-21,Arctic Marine Mammal Hunters,,"MULTIPOINT ((170.3 61.3), (171.3 62.8), (173.3 62.8), (175.3…"
34,Arctic Peoples,-2400.1,-1.0,4412916.2,TRIBAL_AREA,,,Arctic Peoples,North America,Arctic America,128,240,176,2026-08-21,Arctic Peoples,,"MULTIPOINT ((-75.7 57.3), (-73.7 57.3), (-76.7 58.8), (-74.7…"
35,Assaka,-610.1,-300.5,57048.3,POLITY,,,Assaka,South Asia,North India,64,208,96,2026-08-21,Assaka,,"POLYGON ((80.00433 18.78931, 80.01406 18.78586, 80.01853 18.…"
36,Athens,-506.4,-495.5,5380.1,POLITY,,,Athens,Europe,Southern Europe,144,176,192,2026-08-21,Athens,,"MULTIPOLYGON (((25.44014 36.92145, 25.43445 36.92631, 25.433…"
37,Chalcis,-506.4,-490.3,2379.5,POLITY,,(Athens),Athens - Chalcis,Europe,Southern Europe,144,176,206,2026-08-21,Athens,,"POLYGON ((23.74684 38.40083, 23.74306 38.39989, 23.72808 38.…"
38,Naxos,-546.3,-478.3,430.6,POLITY,,(Athens),Athens - Naxos,Southwest Asia,Anatolia-Caucasus,144,176,201,2026-08-21,Athens,,"POLYGON ((25.4487 36.9212, 25.4547 36.92322, 25.46128 36.928…"
39,Salamis,-565.5,-480.9,98.0,POLITY,,(Athens),Athens - Salamis,Europe,Southern Europe,144,176,196,2026-08-21,Athens,,"POLYGON ((23.45336 37.87703, 23.46542 37.88197, 23.47394 37.…"
40,Audumbaras,-600.5,-450.5,20063.9,POLITY,,,Audumbaras,South Asia,North India,240,176,176,2026-08-21,Audumbaras,,"POLYGON ((75.4981 32.8342, 75.5039 32.8103, 75.5039 32.7706,…"
41,Austro-Asiatic Peoples,-1200.1,-1.0,2118935.6,TRIBAL_AREA,,,Austro-Asiatic Peoples,Southeast Asia,Mainland Southeast Asia,32,128,16,2026-08-21,Austro-Asiatic Peoples,,"MULTIPOINT ((105.67 9.43), (98.9 10.3), (99.15 11.3), (99.26…"
42,Austronesians,-1000.1,-384.5,8777680.4,TRIBAL_AREA,,,Austronesians,Southeast Asia,Maritime Southeast Asia,208,128,16,2026-08-21,Austronesians,,"MULTIPOINT ((108.3 -7.6), (109.8 -7.6), (106.05 -6.5), (107.…"
43,Avanti,-535.5,-492.5,215653.2,POLITY,,,Avanti,South Asia,North India,208,224,32,2026-08-21,Avanti,,"MULTIPOLYGON (((72.67308 21.12467, 72.67431 21.12859, 72.681…"
44,Haihayas,-549.5,-400.5,44048.0,POLITY,,(Avanti),Avanti - Haihayas,South Asia,North India,208,224,33,2026-08-21,Avanti,,"POLYGON ((74.9587 20.9332, 74.9102 20.9597, 74.8572 20.9774,…"
