Search Term,Date From,Date To,Center Lat,Center Lon,
red sea,-2400,,21,38,
mesopotamia,-2400,-539,33.5,44,
fertile crescent,-2400,-539,33.5,42.5,
sumer,-2400,-2004,31,45.5,
nile valley,-2400,-261,22,32.5,
nubia,-2400,-261,17.5,32.5,DELETE
levant,-2400,-200,32.5,35.5,DELETE
near east,-2400,-261,33.5,45,DELETE
middle east,-2400,-261,28.5,45,DELETE
anatolia,-2400,-261,39,35.5,DELETE
asia minor,-2400,-261,39,35.5,DELETE
aboriginal peoples,-2400,-1,-12.8,128.4,
ainu,-2400,-1,47.4,145.3,
aleuts,-2400,-1,60.8,-159.7,
amazonian peoples,-2400,-1,-4.4,-60.6,
andean peoples,-2400,-1,-15.4,-73.1,
arctic marine mammal hunters,-2400,-1,69.5,150.4,
arctic peoples,-2400,-1,66.3,-100.8,
austro-asiatic peoples,-2400,-1,18.6,102.6,
austronesians,-2400,-1,4.1,117.9,
bell beaker peoples,-2400,-2050,52.9,12.4,
berbers,-2400,-1,33.8,-0.9,
california peoples,-2400,-1,37,-120.6,
caribbean peoples,-2400,-1,16.4,-72.5,
caucasians,-2400,-690,39.9,42.1,
central african peoples,-2400,-1,2.7,22.2,
chinchorro culture,-2400,-1,-18.5,-69.5,
desert cultures,-2400,-1,32.4,-108.6,
dilmun,-2400,-1550,27.2,50.7,
dravidians,-2400,-1,20.4,80.1,
east african peoples,-2400,-1,6.1,44,
eastern woodland peoples,-2400,-1,41.2,-80.5,
egypt: old kdm,-2400,-9998,30.8,32.5,
finns,-2400,-1,58.1,43.9,
helmand and jiroft cultures,-2400,-1750,30.3,62.4,
hurrians,-2400,-864,37.4,41.4,
indus valley civilization,-2400,-1750,23.4,69,
iranians,-2400,-532,39.7,62.6,
jomon culture,-2400,-1,35.9,137.3,
khoisan peoples,-2400,-1,-16.8,27.1,
koreans,-2400,-1,37.1,127.5,
libyans,-2400,-1,31.6,23.8,
longshan culture,-2400,-1900,36.7,112.5,
magan,-2400,-1550,26.9,57.2,
manchurian peoples,-2400,-1,47.1,127.5,
mesoamerican peoples,-2400,-1,14.8,-88,
norte chico civilization,-2400,-1800,-8.7,-77.5,
northwest coast peoples,-2400,-1,55.3,-131.7,
nubians,-2400,-1,19.6,33.6,
paleosiberians,-2400,-1,63.6,112.9,
pampas cultures,-2400,-1,-37.9,-64.6,
patagonian peoples,-2400,-1,-49.5,-72,
pelasgians,-2400,-1506,37.5,23.2,
plains peoples,-2400,-1,44.1,-102.3,
plateau peoples,-2400,-1,47.3,-117,
proto-burmese,-2400,-1,29,96.6,
proto-ethiopians,-2400,-1,10.4,38.2,
proto-mongol peoples,-2400,-1,50.3,107.9,
proto-tibetans,-2400,-1,32.4,85.1,
proto-turkic peoples,-2400,-1,40.9,97.5,
punt,-2400,-1100,16.2,41.8,
saharan peoples,-2400,-1,22.9,8.1,
savanna peoples,-2400,-1,-20,-51.4,
semitic nomads,-2400,-1000,24.2,47.1,
south china peoples,-2400,-1,30.2,112.8,
subarctic peoples,-2400,-1,59.2,-110.3,
thai peoples,-2400,-1,28.2,102.4,
thraco cimmerians,-2400,-1450,45.8,31.7,
valdivia culture,-2400,-1700,-2.5,-82.5,
west african peoples,-2400,-1,11.4,-1.2,
western mediterraneans,-2400,-1,44.1,2.8,
lagash,-2397,-2352,32.5,46.7,
larak,-2395,-2284,32.5,44.5,
umma,-2395,-2310,32.5,47.5,
kingdom of ebla,-2380,-2000,35.6,38.6,
kingdom of kish,-2380,-1839,33,43.9,
kingdom of tuttul,-2380,-2196,37.5,40,
kingdom of akshak,-2372,-2284,33.3,43,
kingdom of adab,-2354,-2253,31.9,47,
anshan,-2348,-653,28.7,52.3,
elam,-2348,-539,31.4,48.7,
guti,-2348,-2120,34.5,46.2,
kingdom of ugarit,-2348,-2200,37.5,37.5,
pashime,-2348,-1346,28.2,52.1,
kingdom of lagash,-2340,-1920,32.5,48.2,
kingdom of uruk,-2334,-1810,33.1,44.5,
kingdom of mari,-2311,-2190,34.3,41.7,
kotosh culture,-2300,-1199,-9.5,-77.5,
proto-canaanites,-2300,-1850,32.5,35.8,
akkadian tributary,-2298,-2220,28.3,54.3,
(marhashi),-2286,-2006,28,55.5,
