Search Term,Date From,Date To,Center Lat,Center Lon
europe,,,53.0,10.0
mediterranean sea,-1000,,38.0,15.0
black sea,-1000,,44.0,34.5
red sea,-2400,,21.0,38.0
mesopotamia,-2400,-539,33.5,44.0
fertile crescent,-2400,-539,33.5,42.5
sumer,-2400,-2004,31.0,45.5
nile valley,-2400,,22.0,32.5
north africa,,,26.5,9.5
sub-saharan africa,,,-7.5,17.0
horn of africa,,,10.0,45.0
canaan,-2000,-900,31.5,35.0
arabia (ancient),-2000,,21.0,46.0
indus valley,,,29.0,72.0
caucasus,,,41.0,44.0
central asia,,,45.0,67.5
great britain,1990,1990,55.0,-3.0
uk,1990,1990,55.0,-3.0
britain,1990,1990,55.0,-3.0
england,1990,1990,53.0,-2.0
scotland,1990,1990,57.5,-4.5
wales,1990,1990,52.5,-4.0
netherlands,1990,1990,52.0,5.5
serbia,1990,1990,44.0,21.0
north macedonia,1990,1990,41.5,21.5
bosnia,1990,1990,44.0,17.5
palestine,1990,1990,31.5,35.0
uae,1990,1990,24.5,53.5
korea,1990,1990,38.0,128.0
burma,1990,1990,19.5,97.0
ceylon,1990,1990,8.0,81.0
united states,1990,1990,37.0,-96.0
usa,1990,1990,37.0,-96.0
us,1990,1990,37.0,-96.0
america,1990,1990,37.0,-96.0
(marhashi),-2400,-2006,28.0,55.5
abhiras,-610,-318,27.5,72.5
abilianikhi,-880,-592,42.5,45.0
abisara,-338,-326,32.5,75.0
aboriginal peoples,-2400,-1,-12.8,128.4
acarnania,-696,-1,37.5,22.5
achaea,-720,-280,38.5,19.1
achaean league,-280,-1,37.5,22.5
achaeans,-1100,-720,39.3,22.0
adena culture,-800,-1,39.1,-82.7
aegina,-520,-338,37.5,22.5
aeniania,-696,-274,37.5,22.5
aeolian league,-696,-544,37.5,27.5
aeolians,-1224,-696,39.4,26.4
aequi,-800,-302,42.5,15.0
aetolia,-696,371,37.5,22.5
aetolian league,-310,-1,37.5,22.5
afghanistan,1990,,32.5,67.5
agathoclid ally,-308,-290,39.0,14.0
ahhiya,-1430,-1202,37.4,28.6
ainu,-2400,-1,47.4,145.3
aitna,-466,-462,37.5,15.0
akkadian empire,-2279,-2154,33.0,45.8
akkadian tributary,-2298,-2220,28.3,54.3
akraephia,-386,-379,37.5,22.5
akragas,-500,-268,37.5,12.7
alasiya,-1876,-1201,34.9,32.5
alavi,-610,-468,27.5,82.5
albania,1990,,40.0,20.0
albanians,-612,-1,39.6,47.1
aleuts,-2400,-1,60.8,-159.7
alfaterni,-438,-1,42.5,15.0
algeria,1990,,27.5,2.5
allabria,-860,-717,37.5,47.5
allakappa,-610,-468,27.5,82.5
allied armies of the eastern satraps,-318,-317,34.9,56.2
alshe,-1368,-1240,37.5,42.5
alzi,-931,-804,37.5,42.5
amazonian peoples,-2400,-1,-4.4,-60.6
ambashthas,-610,-400,32.5,72.5
ambracia,-366,-295,37.5,22.5
ammonites,-1280,-587,32.5,37.5
amorite ebla,-1900,-1826,34.9,37.5
amorite mari,-2100,-1761,35.8,39.5
amorite tuttul,-1900,-1826,37.5,40.0
amorites,-2400,-1081,33.6,40.8
amurru,-1728,-968,33.9,37.3
anarta,-610,-318,22.5,72.5
andean peoples,-2400,-1,-15.4,-73.1
andhra,-610,-300,17.5,82.5
andorra,1990,,42.5,3.0
anga,-775,-530,25.4,87.5
angola,1990,,-10.0,17.5
anshan,-2400,-653,28.7,52.3
antandros,-478,-410,37.5,27.5
antarctica,1990,,-75.0,32.5
anti macedon alliance,-339,-262,37.5,23.3
anti roman alliance,-341,-338,42.5,15.0
anti spartan alliance,-395,-386,38.5,25.3
antigonid ally,-313,-290,37.6,23.5
antigonid kingdom,-306,-1,38.1,26.7
antigua and barbuda,1990,,17.5,-62.5
antipatrid ally,-310,-306,41.0,27.2
anupa,-610,-348,22.5,77.5
anuradhapura,-326,-1,7.5,78.7
aparytae,-610,-544,32.5,72.5
apollonia,-491,-283,42.5,21.0
arabs,-1000,-1,25.5,45.4
aram damascus,-1146,-606,33.0,37.4
aram-naharim,-1146,-1106,37.5,37.5
aram-zobah,-1146,-750,32.5,37.5
aramaeans,-1280,-1,33.8,40.6
arcadia,-742,-446,37.5,22.5
arcadian league,-370,-1,37.5,22.5
arctic marine mammal hunters,-2400,-1,69.5,150.4
arctic peoples,-2400,-1,66.3,-100.8
ardiaei,-346,-1,42.5,21.0
argaric culture,-2200,-1500,37.5,-2.5
argentina,1990,,-40.0,-65.0
argos,-494,-272,37.5,22.5
armenia,1990,,40.0,45.0
aryan people,-2400,-532,31.8,70.3
arzawa,-1776,-1202,37.7,29.3
asinia,-780,-758,37.5,22.5
assaka,-725,-300,17.5,80.0
assakenoi,-610,-516,34.9,72.5
assyrian kingdoms,-2400,-1920,35.6,43.1
assyrian revolt,-1196,-1056,36.2,42.5
asvaka,-610,-516,34.1,72.5
athamania,-431,-1,37.5,22.5
athenian ally,-384,-379,37.5,27.5
athens,-900,268,38.6,24.4
atropatene,-320,-1,39.3,47.1
atuna,-827,-680,37.5,33.8
audumbaras,-600,-323,32.5,75.8
aurunci,-800,-334,42.5,15.0
australia,1990,,-30.0,121.0
austria,1990,,47.5,12.0
austro-asiatic peoples,-2400,-1,18.6,102.6
austronesians,-2400,-1,4.1,117.9
avanti,-850,-400,24.4,75.5
azerbaijan,1990,,40.0,47.0
