Name,MinLon,MinLat,MaxLon,MaxLat,EarliestDate,LatestDate
(Marhashi),45,25,60.0,35,2286.5 BCE,2005.5 BCE
Abhiras,70,25,75.0,30,610.1 BCE,317.5 BCE
Abilianikhi,42,40,48.0,45,880.1 BCE,591.5 BCE
Abisara,70,30,80.0,35,337.5 BCE,326.4 BCE
Aboriginal Peoples,95,-45,165.0,20,2400.1 BCE,1 BCE
Acarnania,20,35,25.0,40,695.5 BCE,1 BCE
Achaea,12,35,25.0,45,720.5 BCE,280.4 BCE
Achaean League,20,35,25.0,40,280.4 BCE,268.2 BCE
Achaeans,18,35,25.0,45,1100.5 BCE,720.5 BCE
Adena Culture,-90,35,-75.0,45,800.1 BCE,1 BCE
Aegina,20,35,25.0,40,520.5 BCE,338.2 BCE
Aeniania,20,35,25.0,40,695.5 BCE,273.5 BCE
Aeolian League,25,35,30.0,40,695.5 BCE,544.5 BCE
Aeolians,18,35,42.0,50,1223.5 BCE,695.5 BCE
Aequi,12,40,18.0,45,800.1 BCE,304.5 BCE
Aetolia,20,35,25.0,40,695.5 BCE,370.7 CE
Aetolian League,20,35,25.0,40,309.5 BCE,1 BCE
Afghanistan,60,25,75.0,40,1990 CE,present
Agathoclid Ally,10,35,20.0,45,308.4 BCE,289.5 BCE
Ahhiya,25,30,35.0,40,1429.5 BCE,1202.2 BCE
Ainu,136,40,160.0,55,2400.1 BCE,1 BCE
Aitna,10,35,20.0,40,466.5 BCE,461.5 BCE
Akkadian Empire,30,25,60.0,40,2279.3 BCE,2193.4 BCE
Akkadian Tributary,45,25,60.0,40,2297.5 BCE,2220.5 BCE
Akraephia,20,35,25.0,40,386.5 BCE,378.8 BCE
Akragas,10,35,20.0,40,500.1 BCE,1 BCE
Alasiya,30,30,35.0,40,1875.5 BCE,1200.6 BCE
Alavi,80,25,85.0,30,610.1 BCE,467.5 BCE
Albania,15,35,25.0,45,1990 CE,present
Albanians,42,35,54.0,45,612.3 BCE,1 BCE
Aleuts,-170,55,-150.0,65,2400.1 BCE,1 BCE
Alfaterni,12,40,18.0,45,438.5 BCE,1 BCE
Algeria,-10,15,15.0,40,1990 CE,present
Allabria,45,35,50.0,40,860.1 BCE,716.7 BCE
Allakappa,80,25,85.0,30,610.1 BCE,467.5 BCE
Allied armies of the Eastern Satraps,50,30,65.0,40,318.1 BCE,317.1 BCE
Alshe,40,35,45.0,40,1367.5 BCE,1240.5 BCE
Alzi,40,35,45.0,40,931.1 BCE,803.5 BCE
Amazonian Peoples,-80,-15,-40.0,10,2400.1 BCE,1 BCE
Ambashthas,70,30,75.0,35,610.1 BCE,400.5 BCE
Ambracia,20,35,25.0,40,365.7 BCE,294.6 BCE
Ammonites,35,30,40.0,35,1280 BCE,587.4 BCE
Amorite Ebla,35,30,40.0,40,1900.5 BCE,1825.5 BCE
Amorite Mari,35,30,45.0,40,2100.5 BCE,1760.7 BCE
Amorite Tuttul,35,35,45.0,40,1900.5 BCE,1825.5 BCE
Amorites,35,30,50.0,40,2200.2 BCE,1280 BCE
Amurru,30,30,40.0,40,1728.5 BCE,968.5 BCE
Anarta,70,20,75.0,25,610.1 BCE,317.5 BCE
Andean Peoples,-85,-40,-65.0,5,2400.1 BCE,1 BCE
Andhra,80,15,85.0,20,610.1 BCE,300.5 BCE
Andorra,0,40,6.0,45,1990 CE,present
Anga,85,20,90.0,30,775.1 BCE,530.5 BCE
Angola,10,-20,25.0,0,1990 CE,present
Anshan,45,25,55.0,35,2348.5 BCE,653.4 BCE
Antandros,25,35,30.0,40,478.3 BCE,427.5 BCE
Antarctica,-160,-90,225.0,-60,1990 CE,present
Anti Macedon Alliance,20,30,30.0,45,268.2 BCE,1 BCE
Anti Roman Alliance,12,40,18.0,45,341.2 BCE,338.5 BCE
Anti Spartan Alliance,18,30,35.0,45,395.3 BCE,386.5 BCE
Antigonid Ally,20,30,36.0,45,313.2 BCE,289.5 BCE
Antigonid Kingdom,15,30,50.0,45,306.3 BCE,1 BCE
Antigua and Barbuda,-65,15,-60.0,20,1990 CE,present
Antipatrid Ally,18,35,36.0,45,310.5 BCE,305.5 BCE
Anupa,75,20,80.0,25,610.1 BCE,348.5 BCE
Anuradhapura,75,5,85.0,10,325.5 BCE,1 BCE
Aparytae,70,30,75.0,35,610.1 BCE,543.5 BCE
Apollonia,18,40,24.0,45,490.5 BCE,283.3 BCE
Arabs,30,15,60.0,35,1000.1 BCE,1 BCE
Aram Damascus,30,25,40.0,40,1145.5 BCE,605.5 BCE
Aram-Naharim,35,35,40.0,40,1145.5 BCE,1105.5 BCE
