Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
europe,,,53.0,10.0,https://www.worldhistory.org/europe/,,https://en.wikipedia.org/wiki/Europe,
mediterranean sea,-1000,,38.0,15.0,,,,
black sea,-1000,,44.0,34.5,,,,
red sea,-2400,,21.0,38.0,,,,
mesopotamia,-2400,-539,33.5,44.0,https://www.worldhistory.org/Mesopotamia/,,https://en.wikipedia.org/wiki/Mesopotamia,
fertile crescent,-2400,-539,33.5,42.5,https://www.worldhistory.org/Fertile_Crescent/,,https://en.wikipedia.org/wiki/Fertile_Crescent,
sumer,-2400,-2004,31.0,45.5,https://www.worldhistory.org/sumer/,,https://en.wikipedia.org/wiki/Sumer,
akkad,,,34.0,44.5,https://www.worldhistory.org/Akkad/,,https://en.wikipedia.org/wiki/Akkad_(region),
babylon,,,32.5,44.5,https://www.worldhistory.org/babylon/,,https://en.wikipedia.org/wiki/Babylon,
assyria,,,36.0,43.0,https://www.worldhistory.org/assyria/,,https://en.wikipedia.org/wiki/Assyria,
nineveh,,,36.5,43.5,https://www.worldhistory.org/nineveh/,,https://en.wikipedia.org/wiki/Nineveh,
nile valley,-2400,-261,22.0,32.5,https://www.worldhistory.org/Nile_Valley/,,https://en.wikipedia.org/wiki/Nile,
nubia,-2400,-261,17.5,32.5,https://www.worldhistory.org/Nubia/,,https://en.wikipedia.org/wiki/Nubia,
carthage (city),,,36.5,10.0,,,https://en.wikipedia.org/wiki/Carthage,
north africa,,,26.5,9.5,https://www.worldhistory.org/North_Africa/,,https://en.wikipedia.org/wiki/North_Africa,
sub-saharan africa,,,-7.5,17.0,,,https://en.wikipedia.org/wiki/Sub-Saharan_Africa,
horn of africa,,,10.0,45.0,https://www.worldhistory.org/Horn_Of_Africa/,,https://en.wikipedia.org/wiki/Horn_of_Africa,
levant,-2400,-200,32.5,35.5,https://www.worldhistory.org/levant/,,https://en.wikipedia.org/wiki/Levant,
canaan,-2000,-900,31.5,35.0,https://www.worldhistory.org/canaan/,,https://en.wikipedia.org/wiki/Canaan,
persia (ancient),-2000,-261,32.5,54.5,,,https://en.wikipedia.org/wiki/Persia,
near east,-2400,-261,33.5,45.0,https://www.worldhistory.org/Near_East/,,https://en.wikipedia.org/wiki/Near_East,
middle east,-2400,-261,28.5,45.0,https://www.worldhistory.org/Middle_East/,,https://en.wikipedia.org/wiki/Middle_East,
arabia (ancient),-2000,-261,21.0,46.0,,,https://en.wikipedia.org/wiki/Arabian_Peninsula,
arabian peninsula,-2000,-261,21.0,46.0,,,https://en.wikipedia.org/wiki/Arabian_Peninsula,
anatolia,-2400,-261,39.0,35.5,https://www.worldhistory.org/Anatolia/,,https://en.wikipedia.org/wiki/Anatolia,
asia minor,-2400,-261,39.0,35.5,https://www.worldhistory.org/Asia_Minor/,,https://en.wikipedia.org/wiki/Anatolia,
gaul,-600,-261,47.0,2.5,https://www.worldhistory.org/gaul/,,https://en.wikipedia.org/wiki/Gaul,
britannia,-600,-261,55.5,-2.5,https://www.worldhistory.org/Britannia/,,https://en.wikipedia.org/wiki/Roman_Britain,
iberia (ancient),-800,-261,40.0,-2.5,,,https://en.wikipedia.org/wiki/Iberian_Peninsula,
germania,-800,-261,52.5,15.0,https://www.worldhistory.org/Germania/,,https://en.wikipedia.org/wiki/Germania,
pontic steppe,-1500,-261,48.0,41.5,,,https://en.wikipedia.org/wiki/Pontic–Caspian_steppe,
steppe,-1500,-261,51.5,75.0,https://www.worldhistory.org/Steppe/,,https://en.wikipedia.org/wiki/Eurasian_Steppe,
indus valley,,,29.0,72.0,https://www.worldhistory.org/Indus_Valley/,,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation,
caucasus,,,41.0,44.0,https://www.worldhistory.org/Caucasus/,,https://en.wikipedia.org/wiki/Caucasus,
central asia,,,45.0,67.5,https://www.worldhistory.org/Central_Asia/,,https://en.wikipedia.org/wiki/Central_Asia,
