Entity,Old WHE URL,API URL,API Title,Score,Change
afghanistan,https://www.worldhistory.org/Afghanistan/,https://www.worldhistory.org/Ancient_Afghanistan/,Ancient Afghanistan,1659374,replaced
amorites,https://www.worldhistory.org/Amorites/,https://www.worldhistory.org/amorite/,Amorite,1372042,replaced
ancient china,https://www.worldhistory.org/Ancient_China/,https://www.worldhistory.org/china/,Ancient China,3845149,replaced
ancient egypt,https://www.worldhistory.org/Ancient_Egypt/,https://www.worldhistory.org/egypt/,Ancient Egypt,3834526,replaced
ancient greece,https://www.worldhistory.org/Ancient_Greece/,https://www.worldhistory.org/greece/,Ancient Greece,3645034,replaced
ancient india,https://www.worldhistory.org/Ancient_India/,https://www.worldhistory.org/india/,Ancient India,3813044,replaced
ancient rome,https://www.worldhistory.org/Ancient_Rome/,https://www.worldhistory.org/Rome/,Ancient Rome,3607500,replaced
argos,https://www.worldhistory.org/Argos/,https://www.worldhistory.org/argos/,Ancient Argos,2452634,replaced
armenia,https://www.worldhistory.org/Armenia/,https://www.worldhistory.org/armenia/,Ancient Armenia,2844582,replaced
assyria,https://www.worldhistory.org/Assyria/,https://www.worldhistory.org/assyria/,Assyria,4807937,replaced
babylon,https://www.worldhistory.org/Babylon/,https://www.worldhistory.org/babylon/,Babylon,4681170,replaced
canaan,https://www.worldhistory.org/Canaan/,https://www.worldhistory.org/canaan/,Canaan,5315209,replaced
carthage,https://www.worldhistory.org/Carthage/,https://www.worldhistory.org/carthage/,Carthage,5429578,replaced
celts,https://www.worldhistory.org/Celts/,https://www.worldhistory.org/celt/,Ancient Celts,1199963,replaced
china,https://www.worldhistory.org/China/,https://www.worldhistory.org/china/,Ancient China,2248986,replaced
corcyra,https://www.worldhistory.org/Corcyra/,https://www.worldhistory.org/corcyra/,Corcyra,4524467,replaced
cyprus,https://www.worldhistory.org/Cyprus/,https://www.worldhistory.org/cyprus/,Ancient Cyprus,1501203,replaced
delphi,https://www.worldhistory.org/Delphi/,https://www.worldhistory.org/delphi/,Delphi,4405935,replaced
egypt,https://www.worldhistory.org/Egypt/,https://www.worldhistory.org/egypt/,Ancient Egypt,2086728,replaced
elam,https://www.worldhistory.org/Elam/,https://www.worldhistory.org/elam/,Elam,5032670,replaced
europe,https://www.worldhistory.org/Europe/,https://www.worldhistory.org/europe/,Europe,4076942,replaced
gaul,https://www.worldhistory.org/Gaul/,https://www.worldhistory.org/gaul/,Gaul,4309631,replaced
greece,https://www.worldhistory.org/Greece/,https://www.worldhistory.org/greece/,Ancient Greece,1478984,replaced
hittites,https://www.worldhistory.org/Hittites/,https://www.worldhistory.org/hittite/,The Hittites,1342823,replaced
india,https://www.worldhistory.org/India/,https://www.worldhistory.org/india/,Ancient India,1999621,replaced
ireland,https://www.worldhistory.org/Ireland/,https://www.worldhistory.org/Ancient_Ireland/,Ancient Ireland,1583400,replaced
italy,https://www.worldhistory.org/Italy/,https://www.worldhistory.org/italy/,Italy,3861607,replaced
japan,https://www.worldhistory.org/Japan/,https://www.worldhistory.org/Ancient_Japan/,Ancient Japan,1013006,replaced
jerusalem,https://www.worldhistory.org/Jerusalem/,https://www.worldhistory.org/jerusalem/,Jerusalem,4495708,replaced
kingdom of israel,https://www.worldhistory.org/Kingdom_Of_Israel/,https://www.worldhistory.org/Kingdom_of_Israel/,Kingdom of Israel,5216555,replaced
kingdom of kush,https://www.worldhistory.org/Kingdom_Of_Kush/,https://www.worldhistory.org/Kush/,The Kingdom of Kush,2210050,replaced
lesbos,https://www.worldhistory.org/Lesbos/,https://www.worldhistory.org/lesbos/,Lesbos,4934590,replaced
levant,https://www.worldhistory.org/Levant/,https://www.worldhistory.org/levant/,Levant,4034751,replaced
