Entity,URL,Status
achaea,https://www.worldhistory.org/Achaea/,200
achaean league,https://www.worldhistory.org/Achaean_League/,200
achaemenid empire,https://www.worldhistory.org/Achaemenid_Empire/,200
adena culture,https://www.worldhistory.org/Adena_Culture/,200
aegina,https://www.worldhistory.org/Aegina/,200
aetolia,https://www.worldhistory.org/Aetolia/,200
aetolian league,https://www.worldhistory.org/Aetolian_League/,200
afghanistan,https://www.worldhistory.org/Afghanistan/,200
africa,https://www.worldhistory.org/Africa/,200
akkad,https://www.worldhistory.org/Akkad/,200
akkadian empire,https://www.worldhistory.org/Akkadian_Empire/,200
akragas,https://www.worldhistory.org/Akragas/,200
albania,https://www.worldhistory.org/Albania/,200
alexandria,https://www.worldhistory.org/Alexandria/,200
algeria,https://www.worldhistory.org/Algeria/,200
americas,https://www.worldhistory.org/Americas/,200
amurru,https://www.worldhistory.org/Amurru/,200
anatolia,https://www.worldhistory.org/Anatolia/,200
ancient china,https://www.worldhistory.org/Ancient_China/,200
ancient egypt,https://www.worldhistory.org/Ancient_Egypt/,200
ancient greece,https://www.worldhistory.org/Ancient_Greece/,200
ancient india,https://www.worldhistory.org/Ancient_India/,200
ancient rome,https://www.worldhistory.org/Ancient_Rome/,200
angola,https://www.worldhistory.org/Angola/,200
antarctica,https://www.worldhistory.org/Antarctica/,200
antigonid kingdom,https://www.worldhistory.org/Antigonid_Kingdom/,200
apollonia,https://www.worldhistory.org/Apollonia/,200
arcadia,https://www.worldhistory.org/Arcadia/,200
arcadian league,https://www.worldhistory.org/Arcadian_League/,200
ardiaei,https://www.worldhistory.org/Ardiaei/,200
argentina,https://www.worldhistory.org/Argentina/,200
argos,https://www.worldhistory.org/Argos/,200
armenia,https://www.worldhistory.org/Armenia/,200
arzawa,https://www.worldhistory.org/Arzawa/,200
asia,https://www.worldhistory.org/Asia/,200
asia minor,https://www.worldhistory.org/Asia_Minor/,200
assyria,https://www.worldhistory.org/Assyria/,200
athens,https://www.worldhistory.org/Athens/,200
australia,https://www.worldhistory.org/Australia/,200
austria,https://www.worldhistory.org/Austria/,200
azerbaijan,https://www.worldhistory.org/Azerbaijan/,200
ba,https://www.worldhistory.org/Ba/,200
babylon,https://www.worldhistory.org/Babylon/,200
babylonia,https://www.worldhistory.org/Babylonia/,200
baghdad,https://www.worldhistory.org/Baghdad/,200
bahamas,https://www.worldhistory.org/Bahamas/,200
bangladesh,https://www.worldhistory.org/Bangladesh/,200
beijing,https://www.worldhistory.org/Beijing/,200
belarus,https://www.worldhistory.org/Belarus/,200
belgium,https://www.worldhistory.org/Belgium/,200
belize,https://www.worldhistory.org/Belize/,200
benin,https://www.worldhistory.org/Benin/,200
berbers,https://www.worldhistory.org/Berbers/,200
berlin,https://www.worldhistory.org/Berlin/,200
bhutan,https://www.worldhistory.org/Bhutan/,200
bithynia,https://www.worldhistory.org/Bithynia/,200
bo,https://www.worldhistory.org/Bo/,200
boeotia,https://www.worldhistory.org/Boeotia/,200
bolivia,https://www.worldhistory.org/Bolivia/,200
bosnia,https://www.worldhistory.org/Bosnia/,200
bosporan kingdom,https://www.worldhistory.org/Bosporan_Kingdom/,200
brazil,https://www.worldhistory.org/Brazil/,200
britannia,https://www.worldhistory.org/Britannia/,200
bulgaria,https://www.worldhistory.org/Bulgaria/,200
byzantine empire,https://www.worldhistory.org/Byzantine_Empire/,200
byzantium,https://www.worldhistory.org/Byzantium/,200
cai,https://www.worldhistory.org/Cai/,200
cairo,https://www.worldhistory.org/Cairo/,200
cambodia,https://www.worldhistory.org/Cambodia/,200
campania,https://www.worldhistory.org/Campania/,200
canaan,https://www.worldhistory.org/Canaan/,200
canada,https://www.worldhistory.org/Canada/,200
cao,https://www.worldhistory.org/Cao/,200
cape verde,https://www.worldhistory.org/Cape_Verde/,200
carthage,https://www.worldhistory.org/Carthage/,200
carystus,https://www.worldhistory.org/Carystus/,200
caucasus,https://www.worldhistory.org/Caucasus/,200
celts,https://www.worldhistory.org/Celts/,200
central asia,https://www.worldhistory.org/Central_Asia/,200
chalcidian league,https://www.worldhistory.org/Chalcidian_League/,200
chalcis,https://www.worldhistory.org/Chalcis/,200
chen,https://www.worldhistory.org/Chen/,200
chile,https://www.worldhistory.org/Chile/,200
china,https://www.worldhistory.org/China/,200
chios,https://www.worldhistory.org/Chios/,200
chola,https://www.worldhistory.org/Chola/,200
chu,https://www.worldhistory.org/Chu/,200
cilicia,https://www.worldhistory.org/Cilicia/,200
cimmerians,https://www.worldhistory.org/Cimmerians/,200
civil war,https://www.worldhistory.org/Civil_War/,200
colchis,https://www.worldhistory.org/Colchis/,200
colombia,https://www.worldhistory.org/Colombia/,200
congo,https://www.worldhistory.org/Congo/,200
constantinople,https://www.worldhistory.org/Constantinople/,200
corcyra,https://www.worldhistory.org/Corcyra/,200
corinthia,https://www.worldhistory.org/Corinthia/,200
costa rica,https://www.worldhistory.org/Costa_Rica/,200
croatia,https://www.worldhistory.org/Croatia/,200
croton,https://www.worldhistory.org/Croton/,200
