Entity,URL,Status
(marhashi),https://en.wikipedia.org/wiki/Marhashi,200
abhiras,https://en.wikipedia.org/wiki/Abhiras,200
abilianikhi,https://en.wikipedia.org/wiki/Abilianikhi,404
abisara,https://en.wikipedia.org/wiki/Abisara,200
aboriginal peoples,https://en.wikipedia.org/wiki/Aboriginal_Peoples,200
acarnania,https://en.wikipedia.org/wiki/Acarnania,200
achaea,https://en.wikipedia.org/wiki/Achaea,200
achaean league,https://en.wikipedia.org/wiki/Achaean_League,200
achaeans,https://en.wikipedia.org/wiki/Achaeans,200
achaemenid empire,https://en.wikipedia.org/wiki/Achaemenid_Empire,200
adena culture,https://en.wikipedia.org/wiki/Adena_Culture,200
aegina,https://en.wikipedia.org/wiki/Aegina,200
aeniania,https://en.wikipedia.org/wiki/Aeniania,200
aeolian league,https://en.wikipedia.org/wiki/Aeolian_League,404
aeolians,https://en.wikipedia.org/wiki/Aeolians,200
aequi,https://en.wikipedia.org/wiki/Aequi,200
aetolia,https://en.wikipedia.org/wiki/Aetolia,200
aetolian league,https://en.wikipedia.org/wiki/Aetolian_League,200
afghanistan,https://en.wikipedia.org/wiki/Afghanistan,200
africa,https://en.wikipedia.org/wiki/Africa,200
agathoclid ally,https://en.wikipedia.org/wiki/Agathoclid_Ally,404
ahhiya,https://en.wikipedia.org/wiki/Ahhiya,200
ainu,https://en.wikipedia.org/wiki/Ainu,200
aitna,https://en.wikipedia.org/wiki/Aitna,404
akkad,https://en.wikipedia.org/wiki/Akkad_(region),200
akkadian empire,https://en.wikipedia.org/wiki/Akkadian_Empire,200
akkadian tributary,https://en.wikipedia.org/wiki/Akkadian_Tributary,404
akraephia,https://en.wikipedia.org/wiki/Akraephia,404
akragas,https://en.wikipedia.org/wiki/Akragas,200
alasiya,https://en.wikipedia.org/wiki/Alasiya,200
alavi,https://en.wikipedia.org/wiki/Alavi,200
albania,https://en.wikipedia.org/wiki/Albania,200
albanians,https://en.wikipedia.org/wiki/Albanians,200
